,$c^{1}$,$c^{2}$,$y^{1}$,$y^{2}$,$t$,ExpValue,Successor,$j^*$,$m$,$r_{j}-OC_{j}$
43,1,1,0,0,10,8897.5,"[42, 130, 86, 119]",2,AA,752.0
42,1,1,0,0,9,8579.5,"[41, 85, 118, 129]",2,AA,1046.0
41,1,1,0,0,8,8118.625,"[40, 128, 84, 117]",2,AA,1574.0
40,1,1,0,0,7,7382.0,"[83, 127, 116, 39]",2,AA,2632.0
39,1,1,0,0,6,6064.0,"[82, 115, 126, 38]",2,AA,5000.0
86,1,0,0,0,9,4247.125,"[162, 85, 173]",2,AA,1048.0
85,1,0,0,0,8,3952.625,"[172, 84, 161]",2,AA,1574.0
84,1,0,0,0,7,3425.5,"[160, 83, 171]",2,AA,2632.0
83,1,0,0,0,6,2368.0,"[82, 170, 159]",2,AA,5000.0
82,1,0,0,0,5,0.0,[81],0,KA,0.0
119,0,1,0,1,9,8664.5,"[129, 162, 118]",4,AA,836.0
162,0,0,0,1,8,4165.375,"[161, 172]",4,LE,1044.0
118,0,1,0,1,8,8330.75,"[128, 161, 117]",4,AA,1044.0
161,0,0,0,1,7,3956.75,"[160, 171]",4,LE,1304.0
117,0,1,0,1,7,7913.5,"[160, 116, 127]",4,AA,1304.0
116,0,1,0,1,6,7392.0,"[115, 126, 159]",4,AA,1630.0
115,0,1,0,1,5,6740.0,"[114, 125, 158]",4,AA,2038.0
114,0,1,0,1,4,5925.0,"[113, 124, 157]",4,AA,2548.0
113,0,1,0,1,3,4906.0,"[112, 123, 156]",4,AA,3184.0
112,0,1,0,1,2,3632.0,"[122, 155, 111]",4,AA,3980.0
111,0,1,0,1,1,2040.0,"[121, 154, 110]",4,AA,5000.0
110,0,1,0,1,0,0.0,['end'],0,-,0.0
38,1,1,0,0,5,3370.0,"[81, 37]",4,AA,2038.0
81,1,0,0,0,4,0.0,[80],0,KA,0.0
37,1,1,0,0,4,2962.5,"[80, 36]",4,AA,2548.0
80,1,0,0,0,3,0.0,[79],0,KA,0.0
36,1,1,0,0,3,2453.0,"[35, 79]",4,AA,3184.0
79,1,0,0,0,2,0.0,[78],0,KA,0.0
35,1,1,0,0,2,1816.0,"[34, 78]",4,AA,3980.0
78,1,0,0,0,1,0.0,[77],0,KA,0.0
34,1,1,0,0,1,1020.0,"[33, 77]",4,AA,5000.0
77,1,0,0,0,0,0.0,['end'],0,-,0.0
33,1,1,0,0,0,0.0,['end'],0,-,0.0
160,0,0,0,1,6,3696.0,"[170, 159]",4,LE,1630.0
159,0,0,0,1,5,3370.0,"[169, 158]",4,LE,2038.0
158,0,0,0,1,4,2962.5,"[168, 157]",4,LE,2548.0
157,0,0,0,1,3,2453.0,"[156, 167]",4,LE,3184.0
156,0,0,0,1,2,1816.0,"[155, 166]",4,LE,3980.0
155,0,0,0,1,1,1020.0,"[154, 165]",4,LE,5000.0
154,0,0,0,1,0,0.0,['end'],0,-,0.0
130,0,1,0,0,9,4332.25,"[129, 173]",4,AA,836.0
173,0,0,0,0,8,0.0,[172],0,KA,0.0
129,0,1,0,0,8,4165.375,"[128, 172]",4,AA,1044.0
172,0,0,0,0,7,0.0,[171],0,KA,0.0
128,0,1,0,0,7,3956.75,"[171, 127]",4,AA,1304.0
171,0,0,0,0,6,0.0,[170],0,KA,0.0
127,0,1,0,0,6,3696.0,"[170, 126]",4,AA,1630.0
170,0,0,0,0,5,0.0,[169],0,KA,0.0
126,0,1,0,0,5,3370.0,"[169, 125]",4,AA,2038.0
169,0,0,0,0,4,0.0,[168],0,KA,0.0
125,0,1,0,0,4,2962.5,"[168, 124]",4,AA,2548.0
168,0,0,0,0,3,0.0,[167],0,KA,0.0
124,0,1,0,0,3,2453.0,"[123, 167]",4,AA,3184.0
123,0,1,0,0,2,1816.0,"[122, 166]",4,AA,3980.0
122,0,1,0,0,1,1020.0,"[121, 165]",4,AA,5000.0
121,0,1,0,0,0,0.0,['end'],0,-,0.0
167,0,0,0,0,2,0.0,[166],0,KA,0.0
166,0,0,0,0,1,0.0,[165],0,KA,0.0
165,0,0,0,0,0,0.0,['end'],0,-,0.0
