$c^{1}$,$c^{2}$,$y^{1}$,$y^{2}$,$t$,ExpValue,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$
2,2,0,0,100,19999.2519531,0,0,0,0
2,2,0,0,99,19999.2519531,0,0,0,1
2,1,0,0,98,14999.2558594,0,0,0,1
2,2,0,0,98,19999.2519531,0,0,0,1
2,2,0,0,97,19999.2519531,0,0,0,1
2,1,0,0,97,14999.2558594,0,0,0,1
2,0,0,0,97,9999.2578125,0,0,0,0
2,2,0,0,96,19999.2519531,0,0,0,1
2,1,0,0,96,14999.2558594,0,0,0,1
2,0,0,0,96,9999.2578125,0,0,0,0
2,2,0,0,95,19999.2519531,0,0,0,1
2,1,0,0,95,14999.2558594,0,0,0,1
2,0,0,0,95,9999.2578125,0,0,0,0
2,1,0,0,94,14999.2558594,0,0,0,1
2,2,0,0,94,19999.2519531,0,0,0,1
2,2,0,0,93,19999.2519531,0,0,0,1
2,0,0,0,93,9999.2578125,0,0,0,0
2,1,0,0,93,14999.2558594,0,0,0,1
2,2,0,0,92,19999.2519531,0,0,0,1
2,1,0,0,92,14999.2558594,0,0,0,1
2,0,0,0,92,9999.2578125,0,0,0,0
2,1,0,0,91,14999.2558594,0,0,0,1
2,0,0,0,91,9999.2578125,0,0,0,0
2,2,0,0,91,19999.2519531,0,0,0,1
2,1,0,0,90,14999.2558594,0,0,0,1
2,0,0,0,90,9999.2578125,0,0,0,0
2,2,0,0,90,19999.2519531,0,0,0,1
2,2,0,0,89,19999.2519531,0,0,0,1
2,0,0,0,89,9999.2578125,0,0,0,0
2,1,0,0,89,14999.2558594,0,0,0,1
2,0,0,0,88,9999.2578125,0,0,0,0
2,2,0,0,88,19999.2519531,0,0,0,1
2,1,0,0,88,14999.2558594,0,0,0,1
2,0,0,0,87,9999.2578125,0,0,0,0
2,1,0,0,87,14999.2558594,0,0,0,1
2,2,0,0,87,19999.2519531,0,0,0,1
2,1,0,0,86,14999.2558594,0,0,0,1
2,0,0,0,86,9999.2578125,0,0,0,0
2,2,0,0,86,19999.2519531,0,0,0,1
2,1,0,0,85,14999.2558594,0,0,0,1
2,0,0,0,85,9999.2578125,0,0,0,0
2,2,0,0,85,19999.2519531,0,0,0,1
2,1,0,0,84,14999.2558594,0,0,0,1
2,0,0,0,84,9999.2578125,0,0,0,0
2,2,0,0,84,19999.2519531,0,0,0,1
2,1,0,0,83,14999.2558594,0,0,0,1
2,2,0,0,83,19999.2519531,0,0,0,1
2,0,0,0,83,9999.2578125,0,0,0,0
2,0,0,0,82,9999.2578125,0,0,0,0
2,2,0,0,82,19999.2519531,0,0,0,1
2,1,0,0,82,14999.2558594,0,0,0,1
2,2,0,0,81,19999.2519531,0,0,0,1
2,1,0,0,81,14999.2558594,0,0,0,1
2,0,0,0,81,9999.2578125,0,0,0,0
2,1,0,0,80,14999.2558594,0,0,0,1
2,0,0,0,80,9999.2578125,0,0,0,0
2,2,0,0,80,19999.2519531,0,0,0,1
2,1,0,0,79,14999.2558594,0,0,0,1
2,0,0,0,79,9999.2578125,0,0,0,0
2,2,0,0,79,19999.2519531,0,0,0,1
2,0,0,0,78,9999.2578125,0,0,0,0
2,2,0,0,78,19999.2519531,0,0,0,1
2,1,0,0,78,14999.2558594,0,0,0,1
2,1,0,0,77,14999.2558594,0,0,0,1
2,2,0,0,77,19999.2519531,0,0,0,1
2,0,0,0,77,9999.2578125,0,0,0,0
2,2,0,0,76,19999.2519531,0,0,0,1
2,0,0,0,76,9999.2578125,0,0,0,0
2,1,0,0,76,14999.2558594,0,0,0,1
2,2,0,0,75,19999.2519531,0,0,0,1
2,1,0,0,75,14999.2558594,0,0,0,1
2,0,0,0,75,9999.2578125,0,0,0,0
2,1,0,0,74,14999.2558594,0,0,0,1
2,0,0,0,74,9999.2578125,0,0,0,0
