,Value,Successor,Res_Cap1,Res_Cap2,Res_Cap3,Res_Cap4,Time,Best Order,Best Successor,"r[j]-OC[j,c,t]"
10,1401.0,"[16102, 1351, 9, 14771, 1461, 15992]",10,10,10,10,10,0,9,0.0
16102,1269.0,"[32194, 17443, 16101, 30863, 17553, 32084]",9,9,9,10,9,4,32084,220.0
32194,1142.0,"[32193, 46955, 33645, 48176, 48286, 33535]",8,8,8,10,8,4,48176,220.0
48286,990.0,"[63047, 49737, 64268, 64378, 49627, 48285]",7,7,7,10,7,4,64268,220.0
64378,918.0,"[79139, 65829, 80360, 80470, 65719, 64377]",6,6,6,10,6,4,80360,220.0
80470,764.0,"[81921, 96452, 96562, 81811, 80469, 95231]",5,5,5,10,5,3,96562,200.0
96562,599.0,"[112544, 112654, 97903, 96561, 111323, 98013]",4,4,4,10,4,3,112654,200.0
112654,422.0,"[128746, 113995, 112653, 127415, 114105, 128636]",3,3,3,10,3,1,127415,100.0
128746,267.0,"[144838, 130087, 128745, 143507, 130197, 144728]",2,2,2,10,2,4,144728,220.0
144838,145.0,"[160930, 146179, 144837, 159599, 146289, 160820]",1,1,1,10,1,4,160820,220.0
160930,0.0,['end'],0,0,0,10,0,0,0,0.0
1351,1269.0,"[17443, 2692, 1350, 16112, 2802, 17333]",10,9,10,9,9,4,17333,220.0
2692,1142.0,"[18784, 4033, 2691, 17453, 4143, 18674]",10,8,10,8,8,4,18674,220.0
4033,990.0,"[4032, 18794, 5484, 20015, 20125, 5374]",10,7,10,7,7,4,20015,220.0
5374,918.0,"[20135, 6825, 21356, 21466, 6715, 5373]",10,6,10,6,6,4,21356,220.0
6715,764.0,"[21476, 8166, 22697, 22807, 8056, 6714]",10,5,10,5,5,3,22807,200.0
8056,599.0,"[22817, 9507, 24038, 24148, 9397, 8055]",10,4,10,4,4,3,24148,200.0
9397,422.0,"[10848, 25379, 25489, 10738, 9396, 24158]",10,3,10,3,3,1,24158,100.0
10738,267.0,"[26720, 26830, 12079, 10737, 25499, 12189]",10,2,10,2,2,4,26720,220.0
12079,145.0,"[28171, 13420, 12078, 26840, 13530, 28061]",10,1,10,1,1,4,28061,220.0
13420,0.0,['end'],10,0,10,0,0,0,0,0.0
14771,1269.0,"[30753, 30863, 16112, 14770, 29532, 16222]",9,10,9,10,9,4,30753,220.0
30863,1142.0,"[46955, 32204, 30862, 45624, 32314, 46845]",8,9,8,10,8,4,46845,220.0
46955,990.0,"[63047, 48296, 46954, 61716, 48406, 62937]",7,8,7,10,7,4,62937,220.0
63047,918.0,"[79139, 64388, 63046, 77808, 64498, 79029]",6,7,6,10,6,4,79029,220.0
79139,764.0,"[80480, 79138, 93900, 80590, 95121, 95231]",5,6,5,10,5,3,95231,200.0
95231,599.0,"[109992, 96682, 111213, 111323, 96572, 95230]",4,5,4,10,4,3,111323,200.0
111323,422.0,"[126084, 112774, 127305, 127415, 112664, 111322]",3,4,3,10,3,1,126084,100.0
127415,267.0,"[142176, 128866, 143397, 143507, 128756, 127414]",2,3,2,10,2,4,143397,220.0
143507,145.0,"[159489, 159599, 144848, 143506, 158268, 144958]",1,2,1,10,1,4,159489,220.0
159599,0.0,['end'],0,1,0,10,0,0,0,0.0
16112,1142.0,"[32204, 17453, 16111, 30873, 17563, 32094]",9,9,9,9,8,4,32094,220.0
17453,990.0,"[33545, 18794, 17452, 32214, 18904, 33435]",9,8,9,8,7,4,33435,220.0
18794,918.0,"[34886, 20135, 18793, 33555, 20245, 34776]",9,7,9,7,6,4,34776,220.0
20135,764.0,"[36227, 21476, 20134, 34896, 21586, 36117]",9,6,9,6,5,3,36227,200.0
21476,599.0,"[37568, 22817, 21475, 36237, 22927, 37458]",9,5,9,5,4,3,37568,200.0
22817,422.0,"[22816, 37578, 24268, 38799, 38909, 24158]",9,4,9,4,3,1,37578,100.0
24158,267.0,"[38919, 25609, 40140, 40250, 25499, 24157]",9,3,9,3,2,4,40140,220.0
25499,145.0,"[40260, 26950, 41481, 41591, 26840, 25498]",9,2,9,2,1,4,41481,220.0
26840,0.0,['end'],9,1,9,1,0,0,0,0.0
29532,1142.0,"[44293, 30983, 45514, 45624, 30873, 29531]",8,10,8,10,8,4,45514,220.0
44293,990.0,"[60385, 45634, 44292, 59054, 45744, 60275]",7,10,7,10,7,4,60275,220.0
59054,918.0,"[75146, 60395, 59053, 73815, 60505, 75036]",6,10,6,10,6,4,75036,220.0
45624,990.0,"[60385, 47075, 61606, 61716, 46965, 45623]",7,9,7,10,7,4,61606,220.0
60385,918.0,"[60384, 75146, 61836, 76367, 76477, 61726]",6,9,6,10,6,4,76367,220.0
75146,764.0,"[91238, 76487, 75145, 89907, 76597, 91128]",5,9,5,10,5,3,91238,200.0
61716,918.0,"[77698, 77808, 63057, 61715, 76477, 63167]",6,8,6,10,6,4,77698,220.0
77808,764.0,"[93900, 79149, 77807, 92569, 79259, 93790]",5,7,5,10,5,3,93900,200.0
93900,599.0,"[109992, 95241, 93899, 108661, 95351, 109882]",4,6,4,10,4,3,109992,200.0
109992,422.0,"[126084, 111333, 109991, 124753, 111443, 125974]",3,5,3,10,3,1,124753,100.0
126084,267.0,"[142176, 127425, 126083, 140845, 127535, 142066]",2,4,2,10,2,4,142066,220.0
142176,145.0,"[156937, 143627, 158158, 158268, 143517, 142175]",1,3,1,10,1,4,158158,220.0
158268,0.0,['end'],0,2,0,10,0,0,0,0.0
76477,764.0,"[91238, 77928, 92459, 92569, 77818, 76476]",5,8,5,10,5,3,92569,200.0
91238,599.0,"[107330, 92579, 91237, 105999, 92689, 107220]",4,8,4,10,4,3,107330,200.0
92569,599.0,"[107330, 94020, 108551, 108661, 93910, 92568]",4,7,4,10,4,3,108661,200.0
107330,422.0,"[107329, 122091, 108781, 123312, 123422, 108671]",3,7,3,10,3,1,122091,100.0
108661,422.0,"[110112, 124643, 124753, 110002, 108660, 123422]",3,6,3,10,3,1,123422,100.0
124753,267.0,"[140845, 126094, 124752, 139514, 126204, 140735]",2,5,2,10,2,4,140735,220.0
140845,145.0,"[156937, 142186, 140844, 155606, 142296, 156827]",1,4,1,10,1,4,156827,220.0
156937,0.0,['end'],0,3,0,10,0,0,0,0.0
123422,267.0,"[138183, 124873, 139404, 139514, 124763, 123421]",2,6,2,10,2,4,139404,220.0
139514,145.0,"[154275, 140965, 155496, 155606, 140855, 139513]",1,5,1,10,1,4,155496,220.0
155606,0.0,['end'],0,4,0,10,0,0,0,0.0
30873,990.0,"[45634, 32324, 46855, 46965, 32214, 30872]",8,9,8,9,7,4,46855,220.0
45634,918.0,"[45633, 60395, 47085, 61616, 61726, 46975]",7,9,7,9,6,4,61616,220.0
60395,764.0,"[76487, 61736, 60394, 75156, 61846, 76377]",6,9,6,9,5,3,76487,200.0
32214,918.0,"[33665, 48196, 48306, 33555, 32213, 46975]",8,8,8,8,6,4,48196,220.0
33555,764.0,"[49537, 49647, 34896, 33554, 48316, 35006]",8,7,8,7,5,3,49647,200.0
34896,599.0,"[50988, 36237, 34895, 49657, 36347, 50878]",8,6,8,6,4,3,50988,200.0
36237,422.0,"[52329, 37578, 36236, 50998, 37688, 52219]",8,5,8,5,3,1,50998,100.0
37578,267.0,"[53670, 38919, 37577, 52339, 39029, 53560]",8,4,8,4,2,4,53560,220.0
38919,145.0,"[55011, 40260, 38918, 53680, 40370, 54901]",8,3,8,3,1,4,54901,220.0
40260,0.0,['end'],8,2,8,2,0,0,0,0.0
