,$c_{1}$,$c_{2}$,$t$,ExpValue,Successor,$j^*$,Best Successor,$r_{j}-OC_{j}$
4,2,1,4,232.59375,"[8, 3, 13]",2,8,148.5
8,2,0,3,140.75,"[17, 7]",1,17,75.5
13,1,1,3,143.234375,"[17, 12, 22]",2,17,163.90625
17,1,0,2,77.5,"[16, 26]",1,26,51.0
22,0,1,2,40.09375,"[26, 21]",2,26,181.0
26,0,0,1,2.0,[25],0,25,0.0
3,2,1,3,192.25,"[2, 12, 7]",2,7,163.875
12,1,1,2,113.59375,"[16, 11, 21]",2,16,181.0
21,0,1,1,21.0,"[25, 20]",2,25,200.0
7,2,0,2,102.0,"[16, 6]",1,16,100.0
16,1,0,1,51.0,"[25, 15]",1,25,100.0
25,0,0,0,0.0,['end'],0,0,0.0
2,2,1,2,138.125,"[1, 11, 6]",2,6,181.0
11,1,1,1,70.0,"[10, 20, 15]",2,15,200.0
20,0,1,0,0.0,['end'],0,0,0.0
6,2,0,1,51.0,"[5, 15]",1,15,100.0
15,1,0,0,0.0,['end'],0,0,0.0
1,2,1,1,70.0,"[0, 10, 5]",2,5,200.0
10,1,1,0,0.0,['end'],0,0,0.0
5,2,0,0,0.0,['end'],0,0,0.0
0,2,1,0,0.0,['end'],0,0,0.0
