$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$
1,1,1,1,1,0,0,0,0,0,100,7082.91943359,0,0,1,0,1,0
1,1,1,0,1,0,0,0,0,0,99,6782.91992188,0,0,1,0,0,0
1,0,1,1,1,0,0,1,1,1,99,7082.01367188,0,0,0,1,0,0
1,1,0,1,1,0,0,0,1,1,99,7082.67480469,0,0,1,0,1,0
0,1,1,1,1,0,1,1,1,1,99,7082.91943359,0,0,2,2,1,0
1,1,1,0,1,0,0,0,0,1,99,6682.55273438,0,0,1,1,0,0
1,1,0,1,1,0,0,0,0,0,99,6882.80273438,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,99,6282.94335938,0,0,0,0,1,0
1,0,1,1,1,0,0,0,0,0,99,6682.92480469,0,0,0,0,1,0
1,1,1,1,1,0,0,0,0,0,99,7082.91943359,0,0,1,0,1,0
1,1,0,1,1,0,0,0,1,1,98,7082.67333984,0,0,1,0,1,0
0,1,1,1,1,0,0,1,1,1,98,6682.94238281,0,0,1,2,1,0
1,1,0,1,1,0,0,0,0,1,98,6782.67382812,0,0,1,0,0,0
0,1,0,1,1,0,0,0,1,1,98,6282.94335938,0,0,0,0,1,0
0,1,1,0,1,0,1,1,1,1,98,6782.91992188,0,0,2,2,0,0
0,1,1,1,1,0,1,1,1,1,98,7082.91943359,0,0,2,2,1,0
0,1,1,1,1,0,0,0,0,0,98,6282.94335938,0,0,0,0,1,0
1,1,0,1,1,0,0,0,0,0,98,6882.80273438,0,0,0,0,0,0
1,0,1,0,1,0,0,0,0,1,98,6282.80273438,0,0,0,1,0,0
0,1,0,1,1,0,1,1,2,2,98,7082.67333984,0,0,1,2,1,0
1,0,0,1,1,0,0,1,1,1,98,6882.80273438,0,0,0,2,0,0
1,1,0,0,1,0,0,0,0,1,98,6482.67382812,0,0,1,0,0,0
1,0,1,0,1,0,0,1,1,1,98,6782.01367188,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,1,98,5882.95263672,0,0,1,0,0,0
0,1,1,0,1,0,1,1,1,2,98,6682.55126953,0,0,1,1,0,0
1,1,1,0,1,0,0,0,0,1,98,6682.55126953,0,0,1,1,0,0
1,0,1,0,1,0,0,0,0,0,98,6382.92529297,0,0,0,0,0,0
1,0,1,1,1,0,0,0,1,1,98,6882.80273438,0,0,0,1,0,0
1,0,0,1,1,0,0,1,2,2,98,6482.86230469,0,1,0,2,1,0
0,1,1,1,1,0,1,1,0,1,98,6782.91992188,0,0,2,2,0,0
0,0,1,1,1,0,1,1,1,1,98,6682.92480469,0,0,2,2,1,0
1,1,1,1,1,0,0,0,0,0,98,7082.91943359,0,0,1,0,0,0
1,1,0,0,1,0,0,0,1,2,98,6082.85449219,0,1,1,0,2,0
0,1,1,0,1,0,0,0,0,0,98,5982.94384766,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,98,6582.80273438,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0,98,6357.89697266,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,98,6782.91992188,1,3,1,0,0,0
1,0,1,1,1,0,0,1,1,1,98,7082.01367188,0,0,0,1,0,0
0,0,1,1,1,0,1,2,2,2,98,7082.01367188,0,0,2,1,0,0
0,1,0,1,1,0,0,0,0,0,98,5957.91552734,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1,1,98,6782.67382812,0,0,1,0,0,0
1,0,1,0,1,0,0,1,1,2,98,6082.74023438,0,1,0,1,0,0
1,0,0,1,1,0,0,0,1,1,98,6682.92480469,0,0,0,0,1,0
0,1,1,1,1,0,1,0,1,1,98,6882.93164062,0,0,2,0,1,0
0,0,1,1,1,0,0,1,1,1,98,6282.94335938,0,0,0,2,1,0
0,0,1,1,1,0,0,0,0,0,98,5757.92480469,0,0,0,0,1,0
1,0,1,1,1,0,0,1,0,1,98,6782.01367188,0,0,0,1,0,0
1,0,1,1,1,0,0,0,0,0,98,6682.92480469,0,0,0,0,1,0
0,1,0,1,1,0,1,1,1,1,98,6882.80273438,0,0,2,2,0,0
0,1,0,0,1,0,0,0,0,0,97,5657.91552734,0,0,0,0,0,0
1,0,0,1,1,0,0,1,1,2,97,6182.83007812,0,1,0,2,0,0
0,0,1,0,1,0,0,0,0,1,97,5482.95361328,0,0,0,0,0,0
1,0,0,0,1,0,0,0,1,1,97,6382.92529297,1,3,0,0,0,0
0,1,1,0,1,0,0,1,1,2,97,6282.80273438,0,0,1,1,0,0
0,0,1,1,1,0,1,1,2,2,97,6882.80273438,0,0,2,1,0,0
0,0,1,0,1,0,0,1,1,1,97,5982.94384766,0,0,0,2,0,0
1,1,0,0,1,0,0,0,0,1,97,6482.671875,0,0,1,0,0,0
0,0,0,1,1,0,0,1,2,2,97,6282.94335938,0,0,0,2,1,0
0,0,1,0,1,0,1,2,2,2,97,6782.01367188,0,0,2,1,0,0
1,1,0,1,1,0,0,0,0,1,97,6782.671875,0,0,1,0,0,0
0,1,0,1,1,0,0,1,2,2,97,6682.92480469,0,0,1,2,1,0
1,0,0,1,1,0,0,0,0,1,97,6382.92529297,1,3,0,0,0,0
0,0,1,0,1,0,1,1,1,1,97,6382.92529297,0,0,2,2,0,0
0,0,1,0,1,0,1,1,1,2,97,6282.80273438,0,0,2,1,0,0
0,0,1,0,1,0,0,1,1,2,97,5882.82128906,0,0,0,1,0,0
0,1,1,0,1,0,0,1,1,1,97,6382.94287109,0,0,1,2,0,0
1,0,1,1,1,0,0,0,1,1,97,6882.80273438,1,3,0,1,0,0
0,1,0,1,1,0,0,0,0,0,97,5957.91552734,0,0,0,0,0,0
