$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$
1,1,1,1,1,0,0,0,0,0,100,27825.7402344,2,0,3,0,0,1
1,1,0,1,1,0,0,0,0,0,99,26828.6367188,1,3,0,0,0,1
0,1,1,1,1,0,1,1,1,1,99,27825.7382812,0,0,2,2,2,2
1,1,1,0,1,0,0,0,0,0,99,22899.0039062,1,3,0,0,0,1
1,0,1,1,1,0,0,0,0,0,99,26028.7265625,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0,99,22849.2304688,1,3,0,0,0,0
1,1,1,0,1,0,0,0,0,1,99,19899.5507812,0,0,1,0,0,2
1,0,1,1,1,0,0,1,1,1,99,27825.7402344,1,3,0,2,2,2
0,1,1,1,1,0,0,0,0,0,99,25728.7304688,0,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0,99,27825.7382812,1,3,0,0,0,1
1,1,0,1,1,0,0,0,1,1,99,26328.6757812,0,0,1,0,2,2
0,1,1,1,1,0,1,0,1,1,98,27025.8300781,0,0,2,0,2,2
1,0,0,1,1,0,0,1,2,2,98,25928.6503906,0,1,0,2,2,2
1,0,0,1,1,0,0,0,1,1,98,26028.7265625,0,0,0,0,2,2
1,0,1,1,0,0,0,0,0,0,98,21049.921875,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,98,27825.7363281,0,0,0,2,2,2
0,1,1,1,0,0,1,1,1,1,98,22849.2304688,0,0,2,2,2,2
1,0,1,1,1,0,0,1,1,0,98,29325.9082031,0,0,0,2,2,1
1,1,0,0,1,0,0,0,1,2,98,17993.9707031,0,1,1,0,2,2
1,1,0,1,0,0,0,0,0,0,98,21849.8300781,1,3,3,0,0,0
0,1,0,1,1,0,0,0,1,1,98,25728.7304688,0,0,0,0,2,2
0,1,1,1,1,0,0,1,1,1,98,27525.7421875,0,0,0,2,2,2
0,1,1,1,0,0,0,0,0,0,98,20749.9257812,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,98,22899.0019531,1,3,3,0,0,1
1,0,1,0,1,0,0,0,0,1,98,19599.6035156,0,0,0,0,0,2
1,0,1,1,0,0,0,1,1,1,98,22849.2285156,0,0,0,2,2,2
1,1,0,1,1,0,0,0,0,1,98,23828.9511719,0,0,1,0,0,2
0,1,0,1,1,0,1,1,2,2,98,26328.6699219,0,0,1,2,2,2
1,1,1,1,1,0,0,0,0,0,98,27825.7363281,1,3,3,0,0,1
1,1,1,0,1,0,0,0,0,1,98,19899.546875,0,0,1,0,0,2
0,1,0,1,1,0,0,0,0,0,98,18294.0488281,0,0,0,0,0,1
0,1,1,0,1,0,0,0,0,0,98,20793.7695312,0,0,0,0,0,1
0,1,0,1,1,0,1,1,1,1,98,26828.6367188,0,0,2,2,2,2
1,0,1,1,1,0,0,1,0,1,98,25326.2402344,0,0,0,2,0,2
1,0,0,1,1,0,0,1,1,1,98,26828.6347656,0,0,0,2,2,2
0,1,1,1,1,0,0,0,0,0,98,25728.7304688,0,0,0,0,0,1
1,1,0,1,1,0,0,0,1,0,98,26631.7441406,0,0,0,0,2,1
1,1,1,0,0,0,0,0,0,0,98,17904.8476562,1,3,3,0,0,0
1,1,1,0,0,0,0,0,0,1,98,14905.3925781,1,3,1,0,0,2
1,0,1,0,1,0,0,0,0,0,98,21093.765625,0,0,0,0,0,1
0,1,1,1,1,0,1,1,0,1,98,25326.2421875,0,0,2,2,0,2
0,0,1,1,1,0,1,1,1,1,98,26028.7265625,0,0,2,2,2,2
0,0,1,1,1,0,1,2,2,2,98,27825.7382812,0,0,2,2,2,2
1,1,0,1,1,0,0,0,0,0,98,26828.6347656,1,3,3,0,0,1
1,1,0,1,0,0,0,0,1,1,98,21349.8671875,0,0,1,0,2,2
1,1,1,1,0,0,0,0,0,0,98,22849.2285156,1,3,3,0,0,0
1,0,1,0,1,0,0,1,1,2,98,19499.5273438,0,1,0,2,2,2
0,1,1,0,1,0,0,0,0,1,98,19299.6074219,0,0,0,0,0,2
1,0,0,1,1,0,0,0,0,0,98,18594.0449219,0,0,0,0,0,1
0,1,1,1,1,0,1,1,1,1,98,27825.7382812,0,0,2,2,2,2
1,0,1,0,1,0,0,1,1,1,98,22899.0019531,0,0,0,2,2,2
0,1,1,0,1,0,1,1,1,1,98,22899.0039062,0,0,2,2,2,2
0,1,1,0,1,0,1,1,1,2,98,19899.546875,0,0,1,2,2,2
1,0,1,1,1,0,0,0,1,1,98,27025.8300781,0,0,0,0,2,2
