$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$
1,1,1,1,1,0,0,0,0,0,100,4606.34228516,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,99,4606.34228516,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,98,4606.34228516,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,98,3813.21582031,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,98,4606.34228516,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,98,4606.34228516,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,98,3813.21582031,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,97,2944.72119141,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,97,3813.21582031,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,97,4606.34228516,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,97,4606.34228516,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,97,3813.21582031,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,97,4606.34228516,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,97,3813.21582031,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,97,4606.34228516,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,97,3813.21582031,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,96,2944.72119141,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,96,3813.21582031,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,96,4606.34228516,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,96,3813.21582031,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,96,4606.34228516,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,96,4606.34228516,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,96,3813.21582031,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,96,4606.34228516,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,96,3813.21582031,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,95,4606.34228516,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,95,3813.21582031,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,95,4606.34228516,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,95,3813.21582031,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,95,3813.21582031,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,95,4606.34228516,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,95,2944.72119141,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,95,4606.34228516,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,95,3813.21582031,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,94,4606.34228516,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,94,3813.21582031,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,94,2944.72119141,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,94,3813.21582031,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,94,4606.34228516,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,94,3813.21582031,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,94,3813.21582031,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,94,4606.34228516,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,94,4606.34228516,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,93,3813.21582031,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,93,3813.21582031,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,93,4606.34228516,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,93,3813.21582031,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,93,4606.34228516,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,93,2944.72119141,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,93,3813.21582031,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,93,4606.34228516,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,93,4606.34228516,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,92,2944.72119141,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,92,4606.34228516,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,92,4606.34228516,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,92,4606.34228516,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,92,3813.21582031,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,92,3813.21582031,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,92,3813.21582031,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,92,3813.21582031,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,92,4606.34228516,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,91,4606.34228516,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,91,2944.72119141,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,91,4606.34228516,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,91,3813.21582031,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,91,4606.34228516,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,91,3813.21582031,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,91,3813.21582031,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,91,4606.34228516,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,91,3813.21582031,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,90,3813.21582031,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,90,3813.21582031,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,90,2944.72119141,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,90,4606.34228516,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,90,3813.21582031,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,90,4606.34228516,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,90,4606.34228516,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,90,3813.21582031,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,90,4606.34228516,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,89,3813.21582031,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,89,4606.34228516,0,0,0,0,0,0
