$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$
1,1,1,1,1,0,0,0,0,0,100,3809.91162109,1,3,3,1,1,1
0,1,1,1,1,0,1,1,1,1,99,3809.46435547,0,0,0,1,2,2
0,1,1,1,1,0,0,0,0,0,99,3224.68359375,3,0,3,3,1,1
1,1,1,1,1,0,0,0,0,0,99,3809.33398438,1,3,3,1,1,1
1,1,1,1,0,0,0,0,0,0,99,3117.51269531,1,3,3,1,1,0
1,0,1,1,1,0,0,0,0,0,99,3224.68359375,1,3,0,3,1,1
1,1,0,1,1,0,0,0,0,0,99,3224.68383789,1,3,3,0,1,1
1,1,1,0,1,0,0,0,0,0,99,3137.81469727,1,3,3,1,0,1
1,0,1,1,1,0,0,1,1,1,99,3809.46435547,0,0,0,1,2,2
1,1,0,1,1,0,0,0,1,1,99,3649.84667969,1,3,0,0,2,2
1,1,1,0,1,0,0,0,0,1,99,3525.94750977,1,3,0,1,0,2
1,0,1,1,1,0,0,1,1,0,98,3137.3918457,1,3,0,1,1,1
0,1,1,0,1,0,1,1,1,2,98,3525.44140625,0,0,0,2,2,2
1,0,1,1,0,0,0,0,0,0,98,2521.1262207,1,3,0,3,1,0
1,0,1,1,1,0,0,1,0,0,98,3224.2746582,1,3,0,3,1,1
0,1,1,1,1,0,1,1,0,0,98,3224.2746582,3,0,3,3,1,1
1,0,1,0,1,0,0,0,0,1,98,3098.68261719,1,3,0,0,0,2
1,0,0,1,1,0,0,1,2,2,98,3431.54931641,0,0,0,2,2,2
1,1,1,1,1,0,0,0,0,0,98,3808.74243164,1,3,3,1,1,1
1,0,1,0,1,0,0,1,1,1,98,3137.62353516,1,3,0,1,2,1
1,1,1,0,0,0,0,0,0,0,98,2366.578125,1,3,3,0,0,0
1,1,0,0,1,0,0,0,1,1,98,2968.80761719,1,3,0,0,2,1
1,0,0,1,1,0,0,0,1,1,98,3224.28955078,0,0,0,0,1,2
