$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$
1,1,1,1,1,0,0,0,0,0,100,5677.11132812,1,3,3,1,1,1
1,1,0,1,1,0,0,0,0,0,99,5378.18017578,1,3,3,0,1,1
0,1,1,1,1,0,1,1,1,1,99,5675.51953125,0,0,2,2,2,2
1,1,1,0,1,0,0,0,0,0,99,5234.36181641,1,3,3,1,0,1
1,0,1,1,1,0,0,0,0,0,99,4929.80126953,1,3,0,3,1,1
1,1,1,1,0,0,0,0,0,0,99,5231.04736328,1,3,3,1,1,0
1,1,1,0,1,0,0,0,0,1,99,4704.91699219,1,3,1,1,0,2
1,0,1,1,1,0,0,1,1,1,99,5675.37597656,1,3,0,2,2,2
0,1,1,1,1,0,0,0,0,0,99,4556.16162109,2,0,3,3,1,1
1,1,1,1,1,0,0,0,0,0,99,5675.06152344,1,3,3,1,1,1
1,1,0,1,1,0,0,0,1,1,99,5227.16162109,1,3,1,0,2,2
0,1,1,1,1,0,1,0,1,1,98,5384.74853516,2,0,2,1,2,2
1,0,0,1,1,0,0,1,2,2,98,4738.93359375,0,1,0,2,2,2
1,0,0,1,1,0,0,0,1,1,98,4928.64697266,1,3,0,0,2,2
1,0,1,1,0,0,0,0,0,0,98,4479.33105469,1,3,0,3,1,0
1,0,1,1,1,0,0,1,1,1,98,5673.26953125,1,3,0,2,2,2
0,1,1,1,0,0,1,1,1,1,98,5229.93359375,2,0,2,2,2,2
1,0,1,1,1,0,0,1,1,0,98,5482.67675781,1,3,0,2,2,1
1,1,0,0,1,0,0,0,1,2,98,3546.92480469,0,1,0,0,2,2
1,1,0,1,0,0,0,0,0,0,98,4927.43701172,1,3,3,0,1,0
0,1,0,1,1,0,0,0,1,1,98,4555.16162109,2,0,3,0,2,2
0,1,1,1,1,0,0,1,1,1,98,5299.79492188,0,0,0,2,2,2
0,1,1,1,0,0,0,0,0,0,98,4105.83203125,2,0,3,3,1,0
1,1,1,0,1,0,0,0,0,0,98,5232.56689453,1,3,3,1,0,1
1,0,1,0,1,0,0,0,0,1,98,4388.94580078,1,3,0,1,0,2
1,0,1,1,0,0,0,1,1,1,98,5229.77929688,1,3,0,2,2,2
1,1,0,1,1,0,0,0,0,1,98,4846.26123047,1,3,1,0,1,2
0,1,0,1,1,0,1,1,2,2,98,5225.41503906,0,0,2,2,2,2
1,1,1,1,1,0,0,0,0,0,98,5672.95019531,1,3,3,1,1,1
1,1,1,0,1,0,0,0,0,1,98,4702.69384766,1,3,1,1,0,2
0,1,0,1,1,0,0,0,0,0,98,3739.79492188,2,0,3,0,1,1
0,1,1,0,1,0,0,0,0,0,98,4107.53271484,2,0,3,3,0,1
0,1,0,1,1,0,1,1,1,1,98,5377.26953125,0,0,2,2,2,2
1,0,1,1,1,0,0,1,0,1,98,5298.20556641,1,3,0,2,1,2
1,0,0,1,1,0,0,1,1,1,98,5377.11621094,1,3,0,2,2,2
0,1,1,1,1,0,0,0,0,0,98,4554.98828125,2,0,3,3,1,1
1,1,0,1,1,0,0,0,1,0,98,4999.73535156,1,3,1,0,2,1
1,1,1,0,0,0,0,0,0,0,98,4750.06494141,1,3,3,1,0,0
1,1,1,0,0,0,0,0,0,1,98,4240.28808594,1,3,1,1,0,2
1,0,1,0,1,0,0,0,0,0,98,4481.02294922,1,3,0,3,0,1
0,1,1,1,1,0,1,1,0,1,98,5298.35888672,2,0,2,2,1,2
0,0,1,1,1,0,1,1,1,1,98,4928.890625,0,0,2,2,2,2
0,0,1,1,1,0,1,2,2,2,98,5673.42382812,0,0,2,2,2,2
1,1,0,1,1,0,0,0,0,0,98,5376.57666016,1,3,3,0,1,1
1,1,0,1,0,0,0,0,1,1,98,4777.29296875,1,3,1,0,2,2
1,1,1,1,0,0,0,0,0,0,98,5229.02050781,1,3,3,1,1,0
1,0,1,0,1,0,0,1,1,2,98,4209.28320312,0,1,0,2,2,2
0,1,1,0,1,0,0,0,0,1,98,4015.46508789,2,0,3,1,0,2
1,0,0,1,1,0,0,0,0,0,98,4113.28027344,1,3,0,0,1,1
0,1,1,1,1,0,1,1,1,1,98,5673.42382812,0,0,2,2,2,2
1,0,1,0,1,0,0,1,1,1,98,5233.08789062,1,3,0,2,2,2
0,1,1,0,1,0,1,1,1,1,98,5233.24121094,0,0,2,2,2,2
0,1,1,0,1,0,1,1,1,2,98,4702.8984375,0,0,2,2,2,2
1,0,1,1,1,0,0,0,1,1,98,5384.59667969,1,3,0,1,2,2
0,0,1,1,1,0,0,0,0,0,98,3176.64428711,3,0,0,3,1,1
1,1,0,0,1,0,0,0,0,1,98,4225.28808594,1,3,1,0,0,2
0,0,1,1,1,0,0,1,1,1,98,4555.25390625,0,0,0,2,2,2
1,1,0,1,1,0,0,0,1,1,98,5225.31054688,1,3,1,0,2,2
1,1,0,0,1,0,0,0,1,1,98,4778.91503906,1,3,1,0,2,2
0,1,1,1,1,0,1,1,1,0,98,5482.82958984,2,0,2,2,2,1
1,1,0,0,1,0,0,0,0,0,98,4929.11865234,1,3,3,0,0,1
1,0,1,1,1,0,0,0,0,0,98,4928.47753906,1,3,0,3,1,1
0,0,0,1,1,0,0,0,0,0,97,1761.58068848,0,0,0,0,0,1
0,1,0,1,1,0,1,1,1,0,97,5077.91308594,0,0,2,2,2,1
0,1,0,1,0,0,1,1,1,1,97,4927.02441406,0,0,2,2,2,2
0,0,1,1,1,0,1,1,1,1,97,4927.54492188,0,0,2,2,2,2
0,0,1,1,1,0,1,1,1,0,97,4629.80761719,0,0,2,2,2,1
1,0,0,1,1,0,0,0,0,0,97,4112.60742188,1,3,0,0,1,1
1,0,0,1,1,0,0,1,1,0,97,5077.75097656,1,3,0,2,2,1
1,1,0,0,1,0,0,0,0,1,97,4223.13671875,1,3,1,0,0,2
0,1,1,1,0,0,1,1,0,1,97,4851.91748047,2,0,2,2,1,2
0,0,1,1,1,0,0,0,1,1,97,3990.91308594,0,0,0,0,2,2
1,0,0,1,1,0,0,0,1,0,97,4629.55078125,1,3,0,0,2,1
0,0,0,1,1,0,1,1,2,2,97,4927.54492188,0,0,2,2,2,2
0,1,0,1,1,0,1,1,0,1,97,4958.35400391,2,0,2,2,1,2
0,1,1,1,1,0,0,0,0,0,97,4553.78564453,2,0,3,3,1,1
0,1,0,0,1,0,0,0,1,2,97,3356.58691406,0,0,0,0,2,2
1,1,0,1,0,0,0,0,1,0,97,4407.74658203,1,3,1,0,2,0
1,1,0,0,0,0,0,0,0,1,97,3746.03881836,1,3,1,0,0,2
1,0,1,1,1,0,0,1,0,1,97,5296.14013672,1,3,0,2,1,2
1,0,0,1,1,0,0,0,2,2,97,4174.15625,0,1,0,0,2,2
0,0,1,1,1,0,1,1,0,1,97,4510.23193359,3,0,2,2,1,2
0,1,1,0,0,0,1,1,1,2,97,4238.25976562,0,0,2,2,2,2
0,1,0,1,1,0,0,0,1,1,97,4553.96289062,2,0,3,0,2,2
0,1,0,1,1,0,1,1,1,2,97,4844.35742188,0,0,2,2,2,2
0,1,1,0,0,0,1,1,1,1,97,4749.36328125,0,0,2,2,2,2
0,1,1,1,1,0,1,1,1,1,97,5671.26367188,0,0,2,2,2,2
0,0,1,0,1,0,0,0,0,1,97,2940.89477539,3,0,0,3,0,1
0,1,0,0,1,0,0,0,0,0,97,3015.43310547,2,0,3,0,0,1
0,0,1,1,1,0,0,2,2,2,97,5297.78710938,0,0,0,2,2,2
1,0,0,1,0,0,0,0,1,1,97,4478.66162109,1,3,0,0,2,2
0,1,1,0,1,0,0,0,0,0,97,4106.73632812,2,0,3,3,0,1
0,1,1,0,1,0,1,1,1,1,97,5231.41210938,0,0,2,2,2,2
0,0,0,1,1,0,0,0,1,1,97,3176.26855469,0,0,0,0,2,1
1,0,0,1,0,0,0,1,2,2,97,4288.69726562,0,1,0,2,2,2
1,1,0,0,0,0,0,0,1,1,97,4289.75488281,1,3,1,0,2,2
1,0,1,0,1,0,0,0,1,1,97,4941.99072266,1,3,0,1,2,2
0,1,0,1,1,0,0,1,1,1,97,5002.16308594,2,0,3,2,2,2
0,0,0,1,1,0,1,1,1,1,97,4112.90625,0,0,2,2,2,1
0,0,1,0,1,0,1,2,2,2,97,5231.41210938,0,0,2,2,2,2
0,0,1,1,1,0,1,2,2,2,97,5671.26367188,0,0,2,2,2,2
0,1,1,0,1,0,0,0,0,1,97,4014.14282227,2,0,3,1,0,2
0,1,1,0,1,0,1,1,0,2,97,3963.90039062,0,0,2,2,0,2
0,1,0,1,0,0,0,0,1,1,97,4105.33544922,2,0,3,0,2,2
0,1,1,1,0,0,1,1,1,1,97,5227.86914062,0,0,2,2,2,2
1,1,0,0,1,0,0,0,1,2,97,3544.66894531,0,1,0,0,2,2
0,0,1,1,1,0,1,0,1,1,97,4364.39257812,0,0,2,0,2,2
0,1,1,0,0,0,0,0,0,0,97,3618.01611328,2,0,3,3,0,0
0,1,0,1,1,0,0,1,2,2,97,4929.4609375,0,0,1,2,2,2
0,1,1,1,1,0,1,1,1,0,97,5480.67724609,2,0,2,2,2,1
1,1,0,0,1,0,0,0,1,0,97,4381.24755859,1,3,1,0,2,1
0,0,1,1,0,0,1,2,2,2,97,5227.87109375,0,0,2,2,2,2
1,1,1,0,1,0,0,0,0,0,97,5230.71582031,1,3,3,1,0,1
1,0,1,1,1,0,0,1,1,1,97,5671.10058594,1,3,0,2,2,2
0,0,1,0,1,0,0,1,1,1,97,4107.11181641,0,0,0,2,2,1
1,0,1,1,1,0,0,1,0,0,97,5375.31542969,1,3,0,2,1,1
1,0,0,1,1,0,0,1,2,1,97,4464.24511719,0,0,0,2,2,2
1,1,1,0,0,0,0,0,0,0,97,4748.35986328,1,3,3,1,0,0
1,0,0,1,0,0,0,0,0,0,97,3439.05737305,1,3,0,0,0,0
0,1,1,0,1,0,1,0,1,2,97,4242.44335938,0,0,2,1,2,2
1,1,0,1,0,0,0,0,1,1,97,4775.51123047,1,3,1,0,2,2
1,0,0,1,1,0,0,0,0,1,97,4509.97558594,1,3,0,0,1,2
0,1,1,1,1,0,1,1,0,1,97,5296.30224609,2,0,2,2,1,2
1,0,0,0,1,0,0,0,1,2,97,3142.86328125,0,0,0,0,2,2
0,0,1,0,1,0,1,1,1,2,97,4387.80957031,0,0,2,2,2,2
0,1,0,1,1,0,1,0,1,1,97,4927.44824219,2,0,2,0,2,2
0,1,0,1,1,0,1,0,2,2,97,4660.71484375,0,0,2,0,2,2
