$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$
1,1,1,1,1,0,0,0,0,0,100,4690.52783203,0,0,0,0,0,1
0,1,1,1,1,0,1,1,1,1,99,4690.52783203,0,0,0,0,2,2
0,1,1,1,1,0,0,0,0,0,99,3999.9934082,0,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0,99,4690.52783203,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0,99,3690.53051758,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,99,3999.99365234,0,0,0,0,0,1
1,1,0,1,1,0,0,0,0,0,99,3999.99365234,0,0,0,0,0,1
1,1,1,0,1,0,0,0,0,0,99,3690.53393555,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,99,4690.52783203,0,0,0,0,2,2
1,1,0,1,1,0,0,0,1,1,99,4504.62744141,1,3,0,0,2,2
1,1,1,0,1,0,0,0,0,1,99,4619.66308594,0,0,0,0,0,2
1,0,1,1,1,0,0,1,1,0,98,3690.53466797,0,0,0,0,0,1
0,1,1,0,1,0,1,1,1,2,98,4619.31445312,0,0,0,0,2,2
1,0,1,1,0,0,0,0,0,0,98,2999.99487305,0,0,0,0,0,0
1,0,1,1,1,0,0,1,0,0,98,3999.99365234,0,0,0,0,0,1
0,1,1,1,1,0,1,1,0,0,98,3999.9934082,0,0,0,0,0,1
1,0,1,0,1,0,0,0,0,1,98,3994.10766602,0,0,0,0,0,2
1,0,0,1,1,0,0,1,2,2,98,4140.14501953,0,1,0,2,2,2
1,1,1,1,1,0,0,0,0,0,98,4690.52783203,0,0,0,0,0,1
1,0,1,0,1,0,0,1,1,1,98,3690.53393555,0,0,0,0,2,0
1,1,1,0,0,0,0,0,0,0,98,2690.52905273,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1,1,98,3504.63378906,1,3,0,0,2,1
1,0,0,1,1,0,0,0,1,1,98,3999.99365234,0,0,0,0,0,2
1,1,0,0,1,0,0,0,1,2,98,3970.57128906,0,1,0,0,2,2
0,1,1,0,1,0,1,1,1,1,98,3690.53393555,0,0,0,0,2,0
1,1,0,1,0,0,0,0,1,1,98,3504.62866211,1,3,0,0,2,2
0,1,1,1,1,0,1,1,1,1,98,4690.52783203,0,0,0,0,2,2
0,0,1,1,1,0,0,1,1,1,98,3999.9934082,0,0,0,0,0,2
1,1,0,1,1,0,0,0,0,0,98,3999.99365234,0,0,0,0,0,1
1,1,1,0,1,0,0,0,0,1,98,4619.31445312,0,0,0,0,0,2
1,1,1,0,1,0,0,0,0,0,98,3690.53393555,0,0,0,0,0,0
1,1,0,1,1,0,0,0,1,1,98,4504.62695312,1,3,0,0,2,2
1,0,0,1,1,0,0,0,0,0,98,2999.99902344,0,0,0,0,0,1
0,1,1,1,0,0,0,0,0,0,98,2999.99487305,0,0,0,0,0,0
0,1,0,1,1,0,1,1,2,2,98,4504.62744141,0,0,0,2,2,2
1,1,0,0,1,0,0,0,0,0,98,2999.99902344,0,0,0,0,0,1
0,1,1,1,1,0,1,1,1,0,98,3690.53466797,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1,98,3619.30957031,0,0,0,0,0,2
1,0,1,1,1,0,0,1,1,1,98,4690.52783203,0,0,0,0,2,2
1,0,1,0,1,0,0,0,0,0,98,2999.99902344,0,0,0,0,0,1
0,1,1,0,1,0,0,0,0,0,98,2999.99902344,0,0,0,0,0,1
1,0,1,1,0,0,0,1,1,1,98,3690.53051758,0,0,0,0,2,2
0,0,1,1,1,0,1,2,2,2,98,4690.52783203,0,0,0,0,2,2
0,1,1,1,0,0,1,1,1,1,98,3690.53051758,0,0,0,0,2,2
1,1,0,1,1,0,0,0,1,0,98,3504.63378906,1,3,0,0,0,1
1,0,0,1,1,0,0,1,1,1,98,3999.99365234,0,0,0,0,0,2
1,1,0,1,0,0,0,0,0,0,98,2999.99487305,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,98,3999.9934082,0,0,0,0,0,1
1,1,0,0,1,0,0,0,0,1,98,3821.35693359,0,0,0,0,0,2
0,1,1,0,1,0,0,0,0,1,98,3994.10766602,0,0,0,0,0,2
0,0,1,1,1,0,1,1,1,1,98,3999.9934082,0,0,0,0,0,2
0,1,1,1,1,0,1,0,0,0,98,3999.9934082,0,0,0,0,0,1
0,1,0,1,1,0,0,0,1,1,98,3999.9934082,0,0,0,0,0,2
1,0,1,1,1,0,0,0,0,0,98,3999.99365234,0,0,0,0,0,1
1,0,1,0,1,0,0,1,1,2,98,4196.63232422,0,1,0,2,2,2
0,1,0,1,1,0,1,1,1,1,98,3999.9934082,0,0,0,0,0,2
0,0,1,1,1,0,0,0,0,0,98,2999.99902344,0,0,0,0,0,1
0,1,0,1,1,0,0,0,0,0,98,2999.99902344,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0,98,3690.53051758,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,97,3690.53393555,0,0,0,0,0,0
1,0,0,1,1,0,0,1,1,1,97,3999.99365234,0,0,0,0,0,2
1,0,1,1,0,0,0,1,1,1,97,3690.53051758,0,0,0,0,2,2
0,0,1,1,0,0,0,0,0,0,97,1999.99975586,0,0,0,0,0,0
0,0,1,1,1,0,1,1,0,0,97,2999.99902344,0,0,0,0,0,1
0,0,1,1,1,0,1,1,1,0,97,2999.99902344,0,0,0,0,0,1
0,0,1,1,1,0,1,0,0,0,97,2999.99902344,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1,97,2820.35522461,0,0,0,0,0,2
1,0,1,0,0,0,0,1,1,2,97,3193.95019531,0,1,0,2,2,2
0,1,1,0,1,0,1,1,1,2,97,4618.92773438,0,0,0,0,2,2
1,0,0,1,1,0,0,1,1,0,97,2999.99902344,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,0,97,2999.99487305,0,0,0,0,0,0
0,1,0,0,1,0,0,0,1,2,97,3787.15136719,0,0,0,0,2,2
1,1,0,1,0,0,0,0,1,0,97,2504.6340332,1,3,0,0,0,0
0,1,0,0,1,0,0,0,1,1,97,2999.99902344,0,0,0,0,0,1
1,0,0,1,1,0,0,1,2,1,97,3140.14819336,0,1,0,2,2,1
1,1,1,0,0,0,0,0,0,0,97,2690.52905273,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,97,1999.99975586,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1,1,97,3504.63305664,1,3,0,0,2,1
0,0,1,1,1,0,1,1,1,1,97,3999.9934082,0,0,0,0,0,2
1,0,1,1,0,0,0,1,0,0,97,2999.99487305,0,0,0,0,0,0
0,0,0,1,1,0,0,0,1,1,97,2999.99902344,0,0,0,0,0,1
0,1,0,1,1,0,0,0,1,1,97,3999.9934082,0,0,0,0,0,2
1,1,0,0,1,0,0,0,1,0,97,2504.6340332,1,3,0,0,0,0
1,0,1,1,0,0,0,1,1,0,97,2690.53540039,0,0,0,0,0,0
1,0,0,1,1,0,0,1,0,0,97,2999.99902344,0,0,0,0,0,1
0,0,1,1,1,0,0,1,1,1,97,3999.9934082,0,0,0,0,0,2
0,1,0,1,0,0,1,1,1,1,97,2999.99487305,0,0,0,0,0,2
0,0,0,1,1,0,1,1,2,2,97,3999.9934082,0,0,0,0,0,2
0,1,0,1,1,0,1,1,2,2,97,4504.62695312,0,0,0,2,2,2
0,0,1,1,1,0,0,1,1,0,97,2999.99902344,0,0,0,0,0,1
0,0,1,1,1,0,0,0,0,0,97,2999.99902344,0,0,0,0,0,1
0,1,1,0,1,0,1,1,0,1,97,3994.07568359,0,0,0,0,0,2
1,0,1,1,1,0,0,0,0,0,97,3999.99365234,0,0,0,0,0,1
0,1,0,1,1,0,1,1,1,1,97,3999.9934082,0,0,0,0,0,2
0,1,0,1,1,0,0,0,1,0,97,2999.99902344,0,0,0,0,0,1
0,1,0,1,1,0,1,1,1,0,97,2999.99902344,0,0,0,0,0,1
0,1,0,0,1,0,1,1,1,2,97,3820.38671875,0,0,0,0,0,2
0,1,0,1,0,0,0,0,0,0,97,1999.99975586,0,0,0,0,0,0
0,0,0,1,1,0,0,1,1,1,97,2999.99902344,0,0,0,0,0,1
0,1,0,1,1,0,1,1,0,0,97,2999.99902344,0,0,0,0,0,1
0,1,1,0,1,0,0,0,0,1,97,3994.07568359,0,0,0,0,0,2
0,1,1,0,1,0,1,1,0,0,97,2999.99902344,0,0,0,0,0,1
0,0,1,0,1,0,1,1,1,2,97,3994.07568359,0,0,0,0,0,2
0,1,0,0,1,0,1,1,1,1,97,2999.99902344,0,0,0,0,0,1
0,1,0,0,1,0,0,0,0,1,97,2999.99902344,0,0,0,0,0,1
0,1,0,1,1,0,1,0,0,0,97,2999.99902344,0,0,0,0,0,1
0,1,0,1,0,0,0,0,1,1,97,2999.99487305,0,0,0,0,0,2
0,1,1,0,0,0,1,1,1,2,97,3618.92260742,0,0,0,0,2,2
0,1,1,0,1,0,1,0,0,0,97,2999.99902344,0,0,0,0,0,1
0,1,0,1,1,0,1,0,1,1,97,3999.9934082,0,0,0,0,0,2
0,1,1,0,0,0,1,1,1,1,97,2690.52905273,0,0,0,0,2,2
0,0,0,1,1,0,0,1,2,2,97,3999.9934082,0,0,0,0,0,2
0,1,0,1,1,0,0,0,0,0,97,2999.99902344,0,0,0,0,0,1
1,0,1,0,1,0,0,1,1,0,97,2690.52880859,0,0,0,0,0,1
1,1,0,1,0,0,0,0,1,1,97,3504.62792969,1,3,0,0,2,2
0,1,1,0,0,0,0,0,0,1,97,2994.07666016,0,0,0,0,0,2
0,1,1,0,1,0,1,1,1,1,97,3690.53393555,0,0,0,0,2,0
0,0,1,1,1,0,0,1,0,0,97,2999.99902344,0,0,0,0,0,1
0,0,0,1,1,0,1,1,1,1,97,2999.99902344,0,0,0,0,0,1
1,1,1,0,1,0,0,0,0,1,97,4618.92773438,0,0,0,0,0,2
