$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$
1,1,1,1,1,0,0,0,0,0,100,8524.61230469,1,3,3,0,0,0
1,1,0,1,1,0,0,0,0,0,99,7199.04980469,0,0,0,0,0,1
0,1,1,1,1,0,1,1,1,1,99,8524.61328125,0,0,2,2,2,2
1,1,1,0,1,0,0,0,0,0,99,7524.578125,1,3,3,0,0,1
1,0,1,1,1,0,0,0,0,0,99,6599.41796875,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0,99,7524.55175781,1,3,3,0,0,0
1,1,1,0,1,0,0,0,0,1,99,8009.07226562,1,3,0,0,0,2
1,0,1,1,1,0,0,1,1,1,99,8524.61328125,0,0,0,2,2,2
0,1,1,1,1,0,0,0,0,0,99,6199.43652344,0,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0,99,8524.55371094,1,3,3,0,0,0
1,1,0,1,1,0,0,0,1,1,99,6999.24804688,0,0,1,0,2,2
0,1,1,1,1,0,1,0,1,1,98,7925.06933594,0,0,2,0,2,2
1,0,0,1,1,0,0,1,2,2,98,6338.19091797,0,1,0,2,2,2
1,0,0,1,1,0,0,0,1,1,98,6599.41796875,0,0,0,0,2,2
1,0,1,1,0,0,0,0,0,0,98,5599.41894531,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,98,8524.5546875,0,0,0,2,2,2
0,1,1,1,0,0,1,1,1,1,98,7524.55175781,0,0,2,2,2,2
1,0,1,1,1,0,0,1,1,0,98,7536.59228516,0,0,0,2,2,0
1,1,0,0,1,0,0,0,1,2,98,5777.07910156,0,0,0,0,2,2
1,1,0,1,0,0,0,0,0,0,98,6199.05078125,0,0,0,0,0,0
0,1,0,1,1,0,0,0,1,1,98,6199.43652344,0,0,0,0,2,2
0,1,1,1,1,0,0,1,1,1,98,8124.57568359,0,0,0,2,2,2
0,1,1,1,0,0,0,0,0,0,98,5199.43701172,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,98,7524.51220703,1,3,3,0,0,1
1,0,1,0,1,0,0,0,0,1,98,6582.16650391,0,0,0,0,0,2
1,0,1,1,0,0,0,1,1,1,98,7524.55175781,0,0,0,2,2,2
1,1,0,1,1,0,0,0,0,1,98,7564.01513672,0,0,0,0,0,2
0,1,0,1,1,0,1,1,2,2,98,6999.24707031,0,0,2,2,2,2
1,1,1,1,1,0,0,0,0,0,98,8524.48925781,1,3,3,0,0,0
1,1,1,0,1,0,0,0,0,1,98,8006.53320312,0,0,0,0,0,2
0,1,0,1,1,0,0,0,0,0,98,4399.93359375,0,0,0,0,0,1
0,1,1,0,1,0,0,0,0,0,98,5199.44140625,0,0,0,0,0,1
0,1,0,1,1,0,1,1,1,1,98,7199.04980469,0,0,2,2,2,2
1,0,1,1,1,0,0,1,0,1,98,8181.77539062,0,0,0,2,0,2
1,0,0,1,1,0,0,1,1,1,98,7199.04980469,0,0,0,2,2,2
0,1,1,1,1,0,0,0,0,0,98,6199.43652344,0,0,0,0,0,1
1,1,0,1,1,0,0,0,1,0,98,5999.28125,0,0,1,0,2,1
1,1,1,0,0,0,0,0,0,0,98,6524.51416016,1,3,3,0,0,0
1,1,1,0,0,0,0,0,0,1,98,7006.53222656,0,0,0,0,0,2
1,0,1,0,1,0,0,0,0,0,98,5599.42285156,0,0,0,0,0,1
0,1,1,1,1,0,1,1,0,1,98,8181.77539062,0,0,2,2,0,2
0,0,1,1,1,0,1,1,1,1,98,6599.41796875,0,0,2,2,2,2
0,0,1,1,1,0,1,2,2,2,98,8524.5546875,0,0,2,2,2,2
