$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$
1,1,1,1,1,0,0,0,0,0,100,22428.7929688,0,0,0,0,0,1
0,1,1,1,1,0,1,1,1,1,99,22428.7929688,0,0,0,0,2,2
0,1,1,1,1,0,0,0,0,0,99,19929.0410156,0,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0,99,22428.7929688,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0,99,17449.9863281,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,99,19929.0410156,0,0,0,0,0,1
1,1,0,1,1,0,0,0,0,0,99,19929.0390625,0,0,0,0,0,1
1,1,1,0,1,0,0,0,0,0,99,17493.828125,0,0,0,0,0,1
1,0,1,1,1,0,0,1,1,1,99,22428.7929688,0,0,0,0,2,2
1,1,0,1,1,0,0,0,1,1,99,21486.3359375,0,0,0,0,2,2
1,1,1,0,1,0,0,0,0,1,99,19212.1308594,1,3,0,0,0,2
1,0,1,1,1,0,0,1,1,0,98,17493.828125,0,0,0,0,0,1
0,1,1,0,1,0,1,1,1,2,98,19212.1308594,0,0,0,0,2,2
1,0,1,1,0,0,0,0,0,0,98,14950.234375,0,0,0,0,0,0
1,0,1,1,1,0,0,1,0,0,98,19929.0410156,0,0,0,0,0,1
0,1,1,1,1,0,1,1,0,0,98,19929.0410156,0,0,0,0,0,1
1,0,1,0,1,0,0,0,0,1,98,17514.6933594,0,0,0,0,0,2
1,0,0,1,1,0,0,1,2,2,98,20372.6367188,0,0,0,2,2,2
1,1,1,1,1,0,0,0,0,0,98,22428.7929688,0,0,0,0,0,1
1,0,1,0,1,0,0,1,1,1,98,17493.828125,0,0,0,0,2,1
1,1,1,0,0,0,0,0,0,0,98,12498.9980469,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1,1,98,16548.125,0,0,0,0,2,1
1,0,0,1,1,0,0,0,1,1,98,19929.0390625,0,0,0,0,0,2
1,1,0,0,1,0,0,0,1,2,98,16748.1953125,0,1,0,0,2,2
0,1,1,0,1,0,1,1,1,1,98,17493.828125,0,0,0,0,2,1
1,1,0,1,0,0,0,0,1,1,98,16506.4921875,0,0,0,0,2,2
0,1,1,1,1,0,1,1,1,1,98,22428.7929688,0,0,0,0,2,2
0,0,1,1,1,0,0,1,1,1,98,19929.0410156,0,0,0,0,0,2
1,1,0,1,1,0,0,0,0,0,98,19929.0390625,0,0,0,0,0,1
1,1,1,0,1,0,0,0,0,1,98,19212.1269531,1,3,0,0,0,2
1,1,1,0,1,0,0,0,0,0,98,17493.828125,0,0,0,0,0,1
1,1,0,1,1,0,0,0,1,1,98,21486.3339844,0,0,0,0,2,2
1,0,0,1,1,0,0,0,0,0,98,14994.078125,0,0,0,0,0,1
0,1,1,1,0,0,0,0,0,0,98,14950.234375,0,0,0,0,0,0
0,1,0,1,1,0,1,1,2,2,98,21486.3339844,0,0,0,0,2,2
1,1,0,0,1,0,0,0,0,0,98,14994.078125,0,0,0,0,0,1
0,1,1,1,1,0,1,1,1,0,98,17493.828125,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1,98,14217.3769531,1,3,0,0,0,2
1,0,1,1,1,0,0,1,1,1,98,22428.7929688,0,0,0,0,2,2
1,0,1,0,1,0,0,0,0,0,98,14994.078125,0,0,0,0,0,1
0,1,1,0,1,0,0,0,0,0,98,14994.078125,0,0,0,0,0,1
1,0,1,1,0,0,0,1,1,1,98,17449.9863281,0,0,0,0,2,2
0,0,1,1,1,0,1,2,2,2,98,22428.7929688,0,0,0,0,2,2
0,1,1,1,0,0,1,1,1,1,98,17449.9863281,0,0,0,0,2,2
1,1,0,1,1,0,0,0,1,0,98,16548.1191406,1,3,0,0,3,1
1,0,0,1,1,0,0,1,1,1,98,19929.0390625,0,0,0,0,0,2
1,1,0,1,0,0,0,0,0,0,98,14950.234375,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,98,19929.0410156,0,0,0,0,0,1
1,1,0,0,1,0,0,0,0,1,98,16548.1894531,1,3,0,0,0,2
0,1,1,0,1,0,0,0,0,1,98,17514.6933594,0,0,0,0,0,2
0,0,1,1,1,0,1,1,1,1,98,19929.0410156,0,0,0,0,0,2
0,1,1,1,1,0,1,0,0,0,98,19929.0410156,0,0,0,0,0,1
0,1,0,1,1,0,0,0,1,1,98,19929.0390625,0,0,0,0,0,2
1,0,1,1,1,0,0,0,0,0,98,19929.0410156,0,0,0,0,0,1
1,0,1,0,1,0,0,1,1,2,98,17994.890625,0,0,0,2,2,2
0,1,0,1,1,0,1,1,1,1,98,19929.0390625,0,0,0,0,0,2
0,0,1,1,1,0,0,0,0,0,98,14994.078125,0,0,0,0,0,1
0,1,0,1,1,0,0,0,0,0,98,14994.078125,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0,98,17449.9863281,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,97,17493.828125,0,0,0,0,0,1
1,0,0,1,1,0,0,1,1,1,97,19929.0390625,0,0,0,0,0,2
1,0,1,1,0,0,0,1,1,1,97,17449.9863281,0,0,0,0,2,2
0,0,1,1,0,0,0,0,0,0,97,9999.24414062,0,0,0,0,0,0
0,0,1,1,1,0,1,1,0,0,97,14994.078125,0,0,0,0,0,1
0,0,1,1,1,0,1,1,1,0,97,14994.078125,0,0,0,0,0,1
0,0,1,1,1,0,1,0,0,0,97,14994.078125,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1,97,11553.2148438,1,3,0,0,0,2
1,0,1,0,0,0,0,1,1,2,97,12997.6181641,0,0,0,2,2,2
0,1,1,0,1,0,1,1,1,2,97,19212.1269531,0,0,0,0,2,2
1,0,0,1,1,0,0,1,1,0,97,14994.078125,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,0,97,14950.234375,0,0,0,0,0,0
0,1,0,0,1,0,0,0,1,2,97,16548.1914062,0,0,0,0,2,2
1,1,0,1,0,0,0,0,1,0,97,11553.0087891,4,3,0,0,3,0
0,1,0,0,1,0,0,0,1,1,97,14994.078125,0,0,0,0,0,1
1,0,0,1,1,0,0,1,2,1,97,15434.2578125,0,0,0,2,2,1
1,1,1,0,0,0,0,0,0,0,97,12498.9980469,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,97,9999.24414062,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1,1,97,16548.1210938,0,0,0,0,2,1
0,0,1,1,1,0,1,1,1,1,97,19929.0410156,0,0,0,0,0,2
1,0,1,1,0,0,0,1,0,0,97,14950.234375,0,0,0,0,0,0
0,0,0,1,1,0,0,0,1,1,97,14994.078125,0,0,0,0,0,1
0,1,0,1,1,0,0,0,1,1,97,19929.0390625,0,0,0,0,0,2
1,1,0,0,1,0,0,0,1,0,97,11553.0078125,1,3,0,0,0,1
1,0,1,1,0,0,0,1,1,0,97,12498.9980469,0,0,0,0,0,0
1,0,0,1,1,0,0,1,0,0,97,14994.078125,0,0,0,0,0,1
0,0,1,1,1,0,0,1,1,1,97,19929.0410156,0,0,0,0,0,2
0,1,0,1,0,0,1,1,1,1,97,14950.234375,0,0,0,0,0,2
0,0,0,1,1,0,1,1,2,2,97,19929.0390625,0,0,0,0,0,2
0,1,0,1,1,0,1,1,2,2,97,21486.3300781,0,0,0,0,2,2
0,0,1,1,1,0,0,1,1,0,97,14994.078125,0,0,0,0,0,1
0,0,1,1,1,0,0,0,0,0,97,14994.078125,0,0,0,0,0,1
0,1,1,0,1,0,1,1,0,1,97,17514.6933594,0,0,0,0,0,2
1,0,1,1,1,0,0,0,0,0,97,19929.0410156,0,0,0,0,0,1
0,1,0,1,1,0,1,1,1,1,97,19929.0390625,0,0,0,0,0,2
0,1,0,1,1,0,0,0,1,0,97,14994.078125,0,0,0,0,0,1
0,1,0,1,1,0,1,1,1,0,97,14994.078125,0,0,0,0,0,1
0,1,0,0,1,0,1,1,1,2,97,16548.1914062,0,0,0,0,2,2
0,1,0,1,0,0,0,0,0,0,97,9999.24414062,0,0,0,0,0,0
0,0,0,1,1,0,0,1,1,1,97,14994.078125,0,0,0,0,0,1
0,1,0,1,1,0,1,1,0,0,97,14994.078125,0,0,0,0,0,1
0,1,1,0,1,0,0,0,0,1,97,17514.6933594,0,0,0,0,0,2
0,1,1,0,1,0,1,1,0,0,97,14994.078125,0,0,0,0,0,1
0,0,1,0,1,0,1,1,1,2,97,17514.6933594,0,0,0,0,0,2
0,1,0,0,1,0,1,1,1,1,97,14994.078125,0,0,0,0,0,1
0,1,0,0,1,0,0,0,0,1,97,14994.078125,0,0,0,0,0,1
0,1,0,1,1,0,1,0,0,0,97,14994.078125,0,0,0,0,0,1
0,1,0,1,0,0,0,0,1,1,97,14950.234375,0,0,0,0,0,2
0,1,1,0,0,0,1,1,1,2,97,14217.3769531,0,0,0,0,2,2
0,1,1,0,1,0,1,0,0,0,97,14994.078125,0,0,0,0,0,1
0,1,0,1,1,0,1,0,1,1,97,19929.0390625,0,0,0,0,0,2
0,1,1,0,0,0,1,1,1,1,97,12498.9980469,0,0,0,0,2,2
0,0,0,1,1,0,0,1,2,2,97,19929.0390625,0,0,0,0,0,2
0,1,0,1,1,0,0,0,0,0,97,14994.078125,0,0,0,0,0,1
1,0,1,0,1,0,0,1,1,0,97,12498.9980469,0,0,0,0,0,1
1,1,0,1,0,0,0,0,1,1,97,16506.4882812,0,0,0,0,2,2
0,1,1,0,0,0,0,0,0,1,97,12519.9482422,0,0,0,0,0,2
0,1,1,0,1,0,1,1,1,1,97,17493.828125,0,0,0,0,2,1
0,0,1,1,1,0,0,1,0,0,97,14994.078125,0,0,0,0,0,1
0,0,0,1,1,0,1,1,1,1,97,14994.078125,0,0,0,0,0,1
1,1,1,0,1,0,0,0,0,1,97,19212.1210938,1,3,0,0,0,2
0,0,1,0,1,0,0,1,1,1,97,14994.078125,0,0,0,0,0,1
1,0,1,1,1,0,0,1,1,1,97,22428.7929688,0,0,0,0,2,2
1,1,1,0,0,0,0,0,0,1,97,14217.3710938,1,3,0,0,0,2
0,0,1,0,1,0,1,1,1,1,97,14994.078125,0,0,0,0,0,1
0,0,1,1,0,0,1,2,2,2,97,17449.9863281,0,0,0,0,2,2
0,1,1,0,0,0,0,0,0,0,97,9999.24414062,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,0,97,17493.828125,0,0,0,0,0,1
1,1,0,1,1,0,0,0,0,0,97,19929.0390625,0,0,0,0,0,1
0,1,0,1,1,0,1,1,2,1,97,16548.1210938,0,0,0,0,2,1
0,1,1,0,1,0,0,0,0,0,97,14994.078125,0,0,0,0,0,1
1,1,0,0,1,0,0,0,1,2,97,16748.1835938,0,1,0,0,2,2
1,1,0,1,1,0,0,0,1,0,97,16548.1132812,1,3,0,0,3,1
1,0,0,1,1,0,0,1,2,2,97,20369.7851562,0,0,0,2,2,2
1,0,1,1,1,0,0,1,0,0,97,19929.0410156,0,0,0,0,0,1
0,1,1,0,1,0,1,1,1,0,97,12498.9980469,0,0,0,0,0,1
1,0,1,0,1,0,0,1,0,0,97,14994.078125,0,0,0,0,0,1
1,1,0,1,1,0,0,0,1,1,97,21486.3300781,0,0,0,0,2,2
1,1,0,1,0,0,0,0,0,0,97,14950.234375,0,0,0,0,0,0
0,1,1,0,1,0,1,0,0,1,97,17514.6933594,0,0,0,0,0,2
0,0,1,1,0,0,0,1,1,1,97,14950.234375,0,0,0,0,0,2
1,0,0,1,0,0,0,0,0,0,97,9999.24414062,0,0,0,0,0,0
1,0,0,1,0,0,0,1,2,2,97,15390.8339844,0,0,0,2,2,2
1,0,0,1,1,0,0,0,1,1,97,19929.0390625,0,0,0,0,0,2
0,0,1,0,1,0,0,0,0,1,97,14994.078125,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,1,97,14994.078125,0,0,0,0,0,1
1,0,1,0,1,0,0,1,1,1,97,17493.828125,0,0,0,0,2,1
0,1,1,1,0,0,0,0,0,0,97,14950.234375,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,97,22428.7929688,0,0,0,0,2,2
1,0,1,0,0,0,0,0,0,0,97,9999.24414062,0,0,0,0,0,0
1,0,1,0,1,0,0,1,1,2,97,17992.3320312,0,0,0,2,2,2
0,0,1,0,1,0,1,2,2,2,97,17493.828125,0,0,0,0,2,1
0,0,0,1,1,0,0,0,0,0,97,9999.24414062,0,0,0,0,0,1
0,0,1,0,1,0,0,0,0,0,97,9999.24414062,0,0,0,0,0,1
0,1,1,1,0,0,1,1,1,1,97,17449.9863281,0,0,0,0,2,2
0,1,1,1,1,0,1,0,0,0,97,19929.0410156,0,0,0,0,0,1
0,0,1,1,0,0,1,1,1,1,97,14950.234375,0,0,0,0,0,2
1,0,0,0,1,0,0,1,2,2,97,15434.2578125,0,0,0,2,2,1
0,1,1,1,0,0,1,0,0,0,97,14950.234375,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1,1,97,14950.234375,0,0,0,0,0,2
1,0,0,0,1,0,0,0,0,0,97,9999.24414062,0,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,97,14994.078125,0,0,0,0,0,1
1,0,0,0,1,0,0,0,1,1,97,14994.078125,0,0,0,0,0,1
1,0,1,0,1,0,0,0,0,0,97,14994.078125,0,0,0,0,0,1
0,1,1,1,0,0,1,1,1,0,97,12498.9980469,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,97,14994.078125,0,0,0,0,0,1
0,1,1,1,1,0,1,1,1,0,97,17493.828125,0,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0,97,22428.7929688,0,0,0,0,0,1
1,0,0,1,1,0,0,0,0,0,97,14994.078125,0,0,0,0,0,1
1,0,1,0,1,0,0,0,0,1,97,17514.6933594,0,0,0,0,0,2
1,0,1,0,1,0,0,1,0,1,97,17514.6933594,0,0,0,0,0,2
0,1,1,1,1,0,1,1,0,0,97,19929.0410156,0,0,0,0,0,1
0,1,1,1,0,0,1,1,0,0,97,14950.234375,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,97,22428.7929688,0,0,0,0,2,2
1,0,0,0,1,0,0,1,1,2,97,15434.2578125,0,0,0,2,2,2
1,0,0,0,1,0,0,0,1,2,97,15194.1962891,0,0,0,0,2,2
0,0,1,1,1,0,1,2,2,1,97,17493.828125,0,0,0,0,2,1
0,1,1,1,1,0,0,0,0,0,97,19929.0410156,0,0,0,0,0,1
0,0,1,1,1,0,1,2,1,1,97,19929.0410156,0,0,0,0,0,2
1,0,1,0,0,0,0,0,0,1,97,12519.9482422,0,0,0,0,0,2
1,0,1,0,0,0,0,1,1,1,97,12498.9980469,0,0,0,0,2,2
0,1,0,0,1,0,0,0,0,0,97,9999.24414062,0,0,0,0,0,1
1,1,0,0,1,0,0,0,0,1,97,16548.1835938,1,3,0,0,0,2
0,1,0,0,1,0,1,1,2,2,97,16548.1210938,0,0,0,0,2,1
0,0,0,1,1,0,1,2,2,2,97,19929.0390625,0,0,0,0,0,2
1,1,0,0,0,0,0,0,1,1,97,11553.015625,0,0,0,0,2,2
0,1,0,1,0,0,1,1,2,2,97,16506.4882812,0,0,0,0,2,2
1,0,0,1,0,0,0,1,1,1,97,14950.234375,0,0,0,0,0,2
1,0,0,0,1,0,0,1,1,1,97,14994.078125,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0,97,17449.9863281,0,0,0,0,0,0
0,0,1,0,1,0,0,1,1,2,97,17514.6933594,0,0,0,0,0,2
1,1,0,0,0,0,0,0,1,2,97,11753.2158203,0,1,0,0,2,2
0,1,1,0,0,0,1,0,0,1,96,12519.9482422,0,0,0,0,0,2
0,1,0,0,0,0,1,1,2,2,96,11553.0087891,0,0,0,0,2,2
0,0,0,1,1,0,0,1,2,1,96,14994.078125,0,0,0,0,0,1
1,0,0,0,1,0,0,0,1,2,96,15194.1816406,0,0,0,0,2,2
0,1,0,1,1,0,1,0,1,1,96,19929.0390625,0,0,0,0,0,2
0,1,1,0,1,0,1,1,0,0,96,14994.078125,0,0,0,0,0,1
0,1,0,1,1,0,1,1,0,0,96,14994.078125,0,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0,96,22428.7929688,0,0,0,0,0,1
0,1,0,1,0,0,0,0,1,0,96,9999.24414062,0,0,0,0,0,0
0,1,0,1,1,0,1,1,2,0,96,11552.7978516,4,0,0,0,3,1
0,0,0,0,1,0,0,1,1,1,96,9999.24414062,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,96,9999.24414062,1,3,0,0,0,1
0,0,0,0,1,0,0,0,1,1,96,9999.24414062,0,0,0,0,0,1
0,1,1,0,0,0,1,1,0,1,96,12519.9482422,0,0,0,0,0,2
0,1,1,0,1,0,1,0,0,1,96,17514.6933594,0,0,0,0,0,2
0,1,1,1,1,0,0,0,0,0,96,19929.0410156,0,0,0,0,0,1
0,1,0,1,1,0,1,0,1,0,96,14994.078125,0,0,0,0,0,1
0,0,0,0,1,0,0,1,1,2,96,14994.078125,0,0,0,0,0,1
1,0,1,0,1,0,0,1,0,0,96,14994.078125,1,3,0,0,0,1
0,1,1,0,1,0,1,1,1,0,96,12498.9980469,0,0,0,0,0,1
1,0,0,0,1,0,0,1,0,0,96,9999.24414062,1,3,0,0,0,1
0,1,0,0,0,0,1,1,1,2,96,11553.2158203,0,0,0,0,2,2
0,1,0,1,0,0,0,0,0,0,96,9999.24414062,0,0,0,0,0,0
