$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$,$d_{6}$,$d_{7}$,$d_{8}$,$d_{9}$,$d_{10}$
1,1,1,1,1,0,0,0,0,0,100,9734.4375,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,99,9734.4375,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,98,9733.73144531,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,98,6822.4375,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,98,9734.4375,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,97,9733.73144531,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,97,9734.4375,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,97,6822.4375,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,96,6822.4375,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,96,9733.73144531,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,96,9734.4375,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,95,9734.4375,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,95,6822.4375,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,95,9733.73144531,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,94,9734.4375,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,94,6822.4375,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,94,9733.73144531,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,93,6822.4375,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,93,9733.73144531,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,93,9734.4375,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,92,9734.4375,0,0,0,0,0,0,0,0,0,0,0
