$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$,$d_{6}$,$d_{7}$,$d_{8}$,$d_{9}$,$d_{10}$
1,1,1,1,1,0,0,0,0,0,100,9372.5703125,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,99,9372.5703125,1,3,3,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,98,9372.5703125,0,0,0,0,2,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,98,9372.55078125,1,3,3,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,98,7911.40234375,1,3,3,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,98,9372.55078125,1,3,3,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,98,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,97,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,97,7911.37353516,1,3,3,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,97,9372.55175781,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,97,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,97,7911.40332031,0,0,0,0,2,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,97,9372.52148438,1,3,3,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,97,3988.75805664,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,97,9372.52148438,1,3,3,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,97,9372.55175781,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,97,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,96,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,96,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,96,9372.5234375,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,96,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,96,9372.48144531,1,3,3,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,96,9372.48144531,1,3,3,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,96,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,96,7911.37548828,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,96,3988.75805664,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,96,9372.5234375,0,0,0,0,2,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,96,7911.33349609,1,3,3,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,95,7911.28173828,1,3,3,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,95,9372.43066406,1,3,3,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,95,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,95,3988.75805664,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,95,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,95,9372.48535156,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,95,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,95,7911.33691406,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,95,9372.48535156,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,95,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,95,9372.43066406,1,3,3,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,94,7911.21630859,1,3,3,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,94,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,94,3988.75805664,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,94,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,94,9372.43554688,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,94,9372.43554688,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,94,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,94,7911.28710938,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,94,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,94,9372.36425781,1,3,3,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,94,9372.36425781,1,3,3,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,93,3988.75805664,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,93,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,93,9372.28417969,1,3,3,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,93,9372.28417969,1,3,3,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,93,9372.37304688,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,93,7911.22460938,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,93,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,93,7911.13525391,1,3,3,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,93,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,93,9372.37304688,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,93,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,92,3988.75805664,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,92,9372.29589844,0,0,0,0,2,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,92,9372.18554688,1,3,3,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,92,9372.18554688,1,3,3,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,92,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,92,7911.14746094,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,92,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,92,9372.29589844,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,92,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,92,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,92,7911.03613281,1,3,3,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,91,9372.20214844,0,0,0,0,2,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,91,9372.06445312,1,3,3,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,91,9372.06445312,1,3,3,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,91,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,91,7911.05322266,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,91,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,91,9372.20214844,0,0,0,0,2,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,91,7910.91601562,1,3,3,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,91,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,91,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,91,3988.75805664,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,90,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,90,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,90,9371.91894531,1,3,3,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,90,9372.08789062,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,90,9372.08789062,0,0,0,0,2,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,90,9371.91894531,1,3,3,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,90,7910.93945312,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,90,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,90,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,90,7910.76953125,1,3,3,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,90,3988.75805664,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,89,9371.95117188,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,89,3988.75805664,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,89,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,89,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,89,7910.58740234,1,3,3,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,89,9371.73925781,1,3,3,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,89,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,89,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,89,9371.73925781,1,3,3,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,89,7910.80273438,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,89,9371.95117188,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,88,9371.78613281,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,88,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,88,9371.50585938,1,3,3,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,88,9371.50585938,1,3,3,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,88,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,88,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,88,7910.34326172,1,3,3,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,88,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,88,7910.63769531,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,88,3988.75805664,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,88,9371.78613281,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,87,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,87,9371.58789062,0,0,0,0,2,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,87,9371.14355469,1,3,3,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,87,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,87,3988.75805664,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,87,9371.14355469,1,3,3,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,87,9371.58789062,0,0,0,0,2,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,87,7909.91845703,1,3,3,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,87,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,87,7910.43945312,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,87,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,86,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,86,3988.75805664,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,86,9371.34960938,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,86,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,86,9371.34960938,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,86,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,86,7910.20117188,0,0,0,0,2,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,86,9370.32128906,1,3,3,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,86,7908.78808594,1,3,3,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,86,9370.32128906,1,3,3,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,86,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,85,9371.0625,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,85,9371.06152344,0,0,0,0,2,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,85,9367.62402344,1,3,3,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,85,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,85,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,85,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,85,3988.75805664,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,85,9367.62402344,1,3,3,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,85,7904.69384766,1,3,3,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,85,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,85,7909.91308594,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,84,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,84,8373.73242188,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,84,9370.71289062,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,84,9370.71484375,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,84,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,84,6912.58447266,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,84,7888.47998047,1,3,3,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,84,3988.75805664,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,84,9357.32910156,1,3,3,0,0,0,0,0,0,0,0
