$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$,$d_{6}$,$d_{7}$,$d_{8}$,$d_{9}$,$d_{10}$
1,1,1,1,1,0,0,0,0,0,100,4918.91259766,0,0,1,0,1,0,1,0,1,0,1
0,1,1,1,1,0,1,1,1,1,99,4909.95410156,0,0,0,0,1,0,1,0,1,0,1
0,1,1,1,1,0,0,0,0,0,99,3920.33056641,0,0,0,0,1,0,1,0,1,0,1
1,1,1,1,1,0,0,0,0,0,99,4918.75488281,0,0,1,0,1,0,1,0,1,0,1
1,1,1,1,0,0,0,0,0,0,99,3989.18847656,0,0,1,0,1,0,1,0,1,0,0
1,0,1,1,1,0,0,0,0,0,99,3922.43701172,0,0,1,0,0,0,1,0,1,0,1
1,1,0,1,1,0,0,0,0,0,99,3927.82202148,0,0,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,0,0,99,3941.38574219,0,0,1,0,1,0,1,0,0,0,1
1,0,1,1,1,0,0,1,1,1,99,4898.62792969,0,0,1,0,0,0,1,0,1,0,1
1,1,0,1,1,0,0,0,1,1,99,4853.42089844,0,0,1,0,1,0,0,0,2,0,1
1,1,1,0,1,0,0,0,0,1,99,4699.52441406,0,0,1,0,1,0,1,0,0,0,2
1,0,1,1,1,0,0,1,1,0,98,3936.42236328,7,0,1,0,0,0,1,3,1,0,1
0,1,1,0,1,0,1,1,1,2,98,4657.12011719,0,0,0,0,1,0,2,0,2,0,2
1,0,1,1,0,0,0,0,0,0,98,2991.13500977,0,0,1,0,0,0,1,0,1,0,0
1,0,1,1,1,0,0,1,0,0,98,3924.49438477,0,0,1,0,0,0,1,0,1,0,1
0,1,1,1,1,0,1,1,0,0,98,3926.16430664,0,0,0,0,1,0,1,0,1,0,1
1,0,1,0,1,0,0,0,0,1,98,3709.64575195,0,0,1,0,0,0,1,0,0,0,2
1,0,0,1,1,0,0,1,2,2,98,4776.78808594,0,0,1,0,0,0,2,0,2,0,1
1,1,1,1,1,0,0,0,0,0,98,4918.58789062,0,0,1,0,1,0,1,0,1,0,1
1,0,1,0,1,0,0,1,1,1,98,3936.4230957,0,0,1,0,0,0,1,0,2,0,1
1,1,1,0,0,0,0,0,0,0,98,2998.55224609,0,0,1,0,1,0,1,0,0,0,0
1,1,0,0,1,0,0,0,1,1,98,3925.03149414,0,0,1,0,1,0,0,0,2,0,1
1,0,0,1,1,0,0,0,1,1,98,3860.62695312,0,0,1,0,0,0,0,0,1,0,1
1,1,0,0,1,0,0,0,1,2,98,4556.13476562,0,0,1,0,1,0,0,0,2,0,2
0,1,1,0,1,0,1,1,1,1,98,3937.68237305,0,0,0,0,1,0,1,0,2,0,1
1,1,0,1,0,0,0,0,1,1,98,3966.53369141,0,0,1,0,1,0,0,0,2,0,2
0,1,1,1,1,0,1,1,1,1,98,4909.75537109,0,0,0,0,1,0,1,0,1,0,1
0,0,1,1,1,0,0,1,1,1,98,3899.79370117,0,0,0,0,0,0,1,0,1,0,1
1,1,0,1,1,0,0,0,0,0,98,3927.73193359,0,0,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,0,0,0,1,98,4699.09814453,0,0,1,0,1,0,1,0,0,0,2
1,1,1,0,1,0,0,0,0,0,98,3941.30395508,0,0,1,0,1,0,1,0,0,0,1
1,1,0,1,1,0,0,0,1,1,98,4853.05224609,0,0,1,0,1,0,0,0,2,0,1
1,0,0,1,1,0,0,0,0,0,98,2928.74462891,0,0,1,0,0,0,0,0,1,0,1
0,1,1,1,0,0,0,0,0,0,98,2990.12060547,0,0,0,0,1,0,1,0,1,0,0
0,1,0,1,1,0,1,1,2,2,98,4814.08007812,0,0,0,0,1,0,2,0,2,0,1
1,1,0,0,1,0,0,0,0,0,98,2944.49780273,0,0,1,0,1,0,0,0,0,0,1
0,1,1,1,1,0,1,1,1,0,98,3937.6784668,7,0,0,0,1,0,1,3,1,0,1
1,1,1,0,0,0,0,0,0,1,98,3932.2421875,0,0,1,0,1,0,1,0,0,0,2
1,0,1,1,1,0,0,1,1,1,98,4898.41650391,0,0,1,0,0,0,1,0,1,0,1
1,0,1,0,1,0,0,0,0,0,98,2942.89794922,0,0,1,0,0,0,1,0,0,0,1
0,1,1,0,1,0,0,0,0,0,98,2942.11254883,0,0,0,0,1,0,1,0,0,0,1
1,0,1,1,0,0,0,1,1,1,98,3981.88964844,0,0,1,0,0,0,1,0,1,0,2
0,0,1,1,1,0,1,2,2,2,98,4893.05908203,0,0,0,0,2,0,1,0,1,0,1
0,1,1,1,0,0,1,1,1,1,98,3984.64355469,0,0,0,0,1,0,1,0,1,0,2
1,1,0,1,1,0,0,0,1,0,98,3925.02294922,7,0,1,0,1,0,0,3,1,0,1
1,0,0,1,1,0,0,1,1,1,98,3924.49414062,0,0,1,0,0,0,2,0,1,0,1
1,1,0,1,0,0,0,0,0,0,98,2993.15673828,0,0,1,0,1,0,0,0,1,0,0
0,1,1,1,1,0,0,0,0,0,98,3920.21240234,0,0,0,0,1,0,1,0,1,0,1
1,1,0,0,1,0,0,0,0,1,98,3707.79833984,0,0,1,0,1,0,0,0,0,0,2
0,1,1,0,1,0,0,0,0,1,98,3705.60864258,0,0,0,0,1,0,1,0,0,0,2
0,0,1,1,1,0,1,1,1,1,98,3921.21704102,0,0,0,0,2,0,1,0,1,0,1
0,1,1,1,1,0,1,0,0,0,98,3921.21704102,0,0,0,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,0,1,1,98,3859.03515625,0,0,0,0,1,0,0,0,1,0,1
1,0,1,1,1,0,0,0,0,0,98,3922.33105469,0,0,1,0,0,0,1,0,1,0,1
1,0,1,0,1,0,0,1,1,2,98,4597.36035156,0,0,1,0,0,0,2,0,2,0,2
0,1,0,1,1,0,1,1,1,1,98,3926.16430664,0,0,0,0,1,0,2,0,1,0,1
0,0,1,1,1,0,0,0,0,0,98,2922.64746094,0,0,0,0,0,0,1,0,1,0,1
0,1,0,1,1,0,0,0,0,0,98,2928.11523438,0,0,0,0,1,0,0,0,1,0,1
1,1,1,1,0,0,0,0,0,0,98,3989.13330078,0,0,1,0,1,0,1,0,1,0,0
1,1,1,0,1,0,0,0,0,0,97,3941.21728516,0,0,1,0,1,0,1,0,0,0,1
1,0,0,1,1,0,0,1,1,1,97,3924.39135742,0,0,1,0,0,0,2,0,1,0,1
1,0,1,1,0,0,0,1,1,1,97,3981.80541992,0,0,1,0,0,0,1,0,1,0,2
0,0,1,1,0,0,0,0,0,0,97,1991.22607422,0,0,0,0,0,0,1,0,1,0,0
0,0,1,1,1,0,1,1,0,0,97,2928.4909668,5,0,0,0,0,3,1,0,1,0,1
0,0,1,1,1,0,1,1,1,0,97,2942.65917969,7,0,0,0,0,0,1,3,1,0,1
0,0,1,1,1,0,1,0,0,0,97,2922.54736328,0,0,0,0,0,0,1,0,1,0,1
1,1,0,0,0,0,0,0,0,1,97,2938.79418945,0,0,1,0,1,0,0,0,0,0,2
1,0,1,0,0,0,0,1,1,2,97,3830.30566406,0,0,1,0,0,0,2,0,2,0,2
0,1,1,0,1,0,1,1,1,2,97,4656.39550781,0,0,0,0,1,0,2,0,2,0,2
1,0,0,1,1,0,0,1,1,0,97,2943.84008789,7,0,1,0,0,0,0,3,1,0,1
1,0,1,1,0,0,0,0,0,0,97,2991.11499023,0,0,1,0,0,0,1,0,1,0,0
0,1,0,0,1,0,0,0,1,2,97,3631.0390625,0,0,0,0,1,0,0,0,2,0,2
1,1,0,1,0,0,0,0,1,0,97,2990.68481445,7,0,1,0,1,0,0,3,1,0,0
0,1,0,0,1,0,0,0,1,1,97,2930.72094727,0,0,0,0,1,0,0,0,2,0,1
1,0,0,1,1,0,0,1,2,1,97,3853.25390625,0,0,1,0,0,0,2,0,2,0,1
1,1,1,0,0,0,0,0,0,0,97,2998.52880859,0,0,1,0,1,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0,97,1999.91394043,0,0,1,0,1,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1,1,97,3924.76074219,0,0,1,0,1,0,0,0,2,0,1
0,0,1,1,1,0,1,1,1,1,97,3921.10302734,0,0,0,0,2,0,1,0,1,0,1
1,0,1,1,0,0,0,1,0,0,97,2992.55957031,5,0,1,0,0,3,1,0,1,0,0
0,0,0,1,1,0,0,0,1,1,97,2860.62792969,0,0,0,0,0,0,0,0,1,0,1
0,1,0,1,1,0,0,0,1,1,97,3858.83300781,0,0,0,0,1,0,0,0,1,0,1
1,1,0,0,1,0,0,0,1,0,97,2938.48193359,0,0,1,0,1,0,0,0,0,0,1
1,0,1,1,0,0,0,1,1,0,97,2997.15600586,7,0,1,0,0,0,1,3,1,0,0
1,0,0,1,1,0,0,1,0,0,97,2928.66650391,0,0,1,0,0,0,0,0,1,0,1
0,0,1,1,1,0,0,1,1,1,97,3899.61230469,0,0,0,0,0,0,1,0,1,0,1
0,1,0,1,0,0,1,1,1,1,97,2992.82397461,0,0,0,0,1,0,2,0,1,0,2
0,0,0,1,1,0,1,1,2,2,97,3859.86328125,0,0,0,0,2,0,2,0,1,0,1
0,1,0,1,1,0,1,1,2,2,97,4813.45507812,0,0,0,0,1,0,2,0,2,0,1
0,0,1,1,1,0,0,1,1,0,97,2937.13891602,0,0,0,0,0,0,1,0,1,0,1
0,0,1,1,1,0,0,0,0,0,97,2922.54736328,0,0,0,0,0,0,1,0,1,0,1
0,1,1,0,1,0,1,1,0,1,97,3709.86621094,0,0,0,0,1,0,1,0,0,0,2
1,0,1,1,1,0,0,0,0,0,97,3922.22143555,0,0,1,0,0,0,1,0,1,0,1
0,1,0,1,1,0,1,1,1,1,97,3926.06420898,0,0,0,0,1,0,2,0,1,0,1
0,1,0,1,1,0,0,0,1,0,97,2930.72094727,0,0,0,0,1,0,0,0,1,0,1
0,1,0,1,1,0,1,1,1,0,97,2944.08691406,7,0,0,0,1,0,0,3,1,0,1
0,1,0,0,1,0,1,1,1,2,97,3671.80126953,0,0,0,0,1,0,2,0,2,0,2
0,1,0,1,0,0,0,0,0,0,97,1993.26464844,0,0,0,0,1,0,0,0,1,0,0
0,0,0,1,1,0,0,1,1,1,97,2924.74316406,0,0,0,0,0,0,2,0,1,0,1
0,1,0,1,1,0,1,1,0,0,97,2928.4921875,3,0,0,3,1,0,0,0,1,0,1
0,1,1,0,1,0,0,0,0,1,97,3705.36352539,0,0,0,0,1,0,1,0,0,0,2
0,1,1,0,1,0,1,1,0,0,97,2944.08789062,5,0,0,0,1,3,1,0,0,0,1
0,0,1,0,1,0,1,1,1,2,97,3707.51293945,0,0,0,0,2,0,1,0,2,0,2
0,1,0,0,1,0,1,1,1,1,97,2944.08862305,0,0,0,0,1,0,2,0,2,0,1
0,1,0,0,1,0,0,0,0,1,97,2713.20410156,0,0,0,0,1,0,0,0,0,0,1
