$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$,$d_{6}$,$d_{7}$,$d_{8}$,$d_{9}$,$d_{10}$
1,1,1,1,1,0,0,0,0,0,100,4998.51708984,1,3,1,0,0,0,0,0,1,0,1
0,1,1,1,1,0,1,1,1,1,99,4999.91015625,0,0,0,0,1,0,1,0,1,0,1
0,1,1,1,1,0,0,0,0,0,99,3999.91015625,3,0,0,3,3,0,1,0,1,0,1
1,1,1,1,1,0,0,0,0,0,99,4997.96435547,1,3,1,0,1,0,0,0,1,0,1
1,1,1,1,0,0,0,0,0,0,99,3998.05322266,1,3,3,0,1,0,1,0,1,0,0
1,0,1,1,1,0,0,0,0,0,99,3997.96435547,1,3,3,0,0,0,0,0,1,0,1
1,1,0,1,1,0,0,0,0,0,99,3997.96411133,1,3,1,0,0,0,0,0,1,0,1
1,1,1,0,1,0,0,0,0,0,99,3997.96655273,1,3,1,0,1,0,1,0,0,0,1
1,0,1,1,1,0,0,1,1,1,99,4997.96435547,1,3,1,0,0,0,2,0,1,0,1
1,1,0,1,1,0,0,0,1,1,99,4997.95214844,1,3,1,0,1,0,0,0,2,0,1
1,1,1,0,1,0,0,0,0,1,99,4997.02636719,1,3,1,0,1,0,0,0,0,0,2
1,0,1,1,1,0,0,1,1,0,98,3997.20019531,1,3,1,0,0,0,1,0,1,0,1
0,1,1,0,1,0,1,1,1,2,98,4998.88085938,0,0,0,0,1,0,1,0,2,0,2
1,0,1,1,0,0,0,0,0,0,98,2997.29711914,1,3,3,0,0,0,0,0,1,0,0
1,0,1,1,1,0,0,1,0,0,98,3997.19848633,1,3,3,0,0,0,0,0,1,0,1
0,1,1,1,1,0,1,1,0,0,98,3999.90136719,3,0,0,3,3,0,0,0,1,0,1
1,0,1,0,1,0,0,0,0,1,98,3996.17773438,1,3,3,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,2,2,98,4982.76464844,0,0,1,0,0,0,2,0,2,0,1
1,1,1,1,1,0,0,0,0,0,98,4997.19824219,1,3,1,0,1,0,0,0,1,0,1
1,0,1,0,1,0,0,1,1,1,98,3997.20068359,1,3,1,0,0,0,2,0,2,0,1
1,1,1,0,0,0,0,0,0,0,98,2997.29760742,1,3,1,0,0,0,1,0,0,0,0
1,1,0,0,1,0,0,0,1,1,98,3997.18823242,1,3,1,0,1,0,0,0,2,0,1
1,0,0,1,1,0,0,0,1,1,98,3997.19604492,1,3,1,0,0,0,0,0,1,0,1
1,1,0,0,1,0,0,0,1,2,98,4981.71289062,0,0,1,0,1,0,0,0,2,0,2
0,1,1,0,1,0,1,1,1,1,98,3999.90380859,0,0,0,0,1,0,1,0,2,0,1
1,1,0,1,0,0,0,0,1,1,98,3997.28295898,1,3,1,0,1,0,0,0,2,0,0
