$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$,$d_{6}$,$d_{7}$,$d_{8}$,$d_{9}$,$d_{10}$
1,1,1,1,1,0,0,0,0,0,100,4999.99609375,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0,99,4999.99511719,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0,99,3999.99658203,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,98,3999.99658203,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,98,4999.99316406,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0,97,4999.98925781,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0,97,3999.99658203,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,96,3999.99658203,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,96,4999.98242188,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0,95,4999.96875,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0,95,3999.99658203,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,94,3999.99658203,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,94,4999.94140625,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0,93,3999.99658203,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,93,4999.88671875,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0,92,4999.77685547,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0,92,3999.99658203,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,91,4999.55712891,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0,91,3999.99658203,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,90,4999.11767578,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0,90,3999.99658203,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,89,3999.99658203,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,89,4998.23876953,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0,88,4996.48095703,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0,88,3999.99658203,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,87,3999.99658203,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,87,4992.96533203,0,0,0,0,0,0,0,0,0,0,1
