$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$,$d_{6}$,$d_{7}$,$d_{8}$,$d_{9}$,$d_{10}$
1,1,1,1,1,0,0,0,0,0,100,4999.91015625,0,0,1,0,1,0,1,0,1,0,1
0,1,1,1,1,0,1,1,1,1,99,4999.87646484,0,0,0,0,1,0,1,0,2,0,1
0,1,1,1,1,0,0,0,0,0,99,3999.9296875,0,0,0,0,0,0,1,0,1,0,1
1,1,1,1,1,0,0,0,0,0,99,4999.91015625,0,0,1,0,1,0,1,0,1,0,1
1,1,1,1,0,0,0,0,0,0,99,3999.9753418,0,0,1,0,1,0,1,0,1,0,0
1,0,1,1,1,0,0,0,0,0,99,3999.9296875,0,0,0,0,0,0,1,0,1,0,1
1,1,0,1,1,0,0,0,0,0,99,3999.93212891,0,0,0,0,0,0,0,0,1,0,1
1,1,1,0,1,0,0,0,0,0,99,3999.94213867,0,0,1,0,1,0,1,0,0,0,1
1,0,1,1,1,0,0,1,1,1,99,4999.90429688,0,0,1,0,0,0,1,0,1,0,1
1,1,0,1,1,0,0,0,1,1,99,4998.15087891,0,0,1,0,1,0,0,0,2,0,1
1,1,1,0,1,0,0,0,0,1,99,4998.63378906,0,0,1,0,1,0,1,0,0,0,2
1,0,1,1,1,0,0,1,1,0,98,3999.93676758,0,0,1,0,0,0,1,0,1,0,1
0,1,1,0,1,0,1,1,1,2,98,4996.9140625,0,0,0,0,1,0,2,0,2,0,2
1,0,1,1,0,0,0,0,0,0,98,2999.99511719,0,0,1,0,0,0,1,0,1,0,0
1,0,1,1,1,0,0,1,0,0,98,3999.93188477,0,0,0,0,0,0,0,0,1,0,1
0,1,1,1,1,0,1,1,0,0,98,3999.93188477,0,0,0,0,0,0,0,0,1,0,1
1,0,1,0,1,0,0,0,0,1,98,3999.49707031,0,0,1,0,0,0,1,0,0,0,2
1,0,0,1,1,0,0,1,2,2,98,4663.90625,0,0,1,0,0,0,2,0,2,0,1
1,1,1,1,1,0,0,0,0,0,98,4999.91015625,0,0,1,0,1,0,1,0,1,0,1
1,0,1,0,1,0,0,1,1,1,98,3999.93676758,0,0,1,0,0,0,1,0,2,0,1
1,1,1,0,0,0,0,0,0,0,98,2999.98022461,0,0,1,0,1,0,1,0,0,0,0
1,1,0,0,1,0,0,0,1,1,98,3998.17651367,0,0,1,0,1,0,0,0,2,0,1
1,0,0,1,1,0,0,0,1,1,98,3999.92675781,0,0,0,0,0,0,0,0,1,0,1
1,1,0,0,1,0,0,0,1,2,98,4690.87841797,0,0,1,0,1,0,0,0,2,0,2
0,1,1,0,1,0,1,1,1,1,98,3999.90844727,0,0,0,0,1,0,1,0,2,0,1
1,1,0,1,0,0,0,0,1,1,98,3998.21386719,0,0,1,0,1,0,0,0,2,0,2
0,1,1,1,1,0,1,1,1,1,98,4999.87597656,0,0,0,0,1,0,1,0,2,0,1
0,0,1,1,1,0,0,1,1,1,98,3999.92944336,0,0,0,0,0,0,1,0,1,0,1
1,1,0,1,1,0,0,0,0,0,98,3999.93188477,0,0,0,0,0,0,0,0,1,0,1
1,1,1,0,1,0,0,0,0,1,98,4998.62792969,0,0,1,0,1,0,1,0,0,0,2
1,1,1,0,1,0,0,0,0,0,98,3999.94189453,0,0,1,0,1,0,1,0,0,0,1
1,1,0,1,1,0,0,0,1,1,98,4998.14550781,0,0,1,0,1,0,0,0,2,0,1
1,0,0,1,1,0,0,0,0,0,98,2999.93188477,0,0,0,0,0,0,0,0,1,0,1
0,1,1,1,0,0,0,0,0,0,98,2999.99487305,0,0,0,0,1,0,1,0,1,0,0
0,1,0,1,1,0,1,1,2,2,98,4994.59570312,0,0,0,0,1,0,2,0,2,0,1
1,1,0,0,1,0,0,0,0,0,98,2999.96191406,0,0,0,0,0,0,0,0,0,0,1
0,1,1,1,1,0,1,1,1,0,98,3999.90844727,0,0,0,0,1,0,1,0,1,0,1
1,1,1,0,0,0,0,0,0,1,98,3999.09033203,0,0,1,0,1,0,1,0,0,0,2
1,0,1,1,1,0,0,1,1,1,98,4999.90429688,0,0,1,0,0,0,1,0,1,0,1
1,0,1,0,1,0,0,0,0,0,98,2999.96166992,0,0,0,0,0,0,0,0,0,0,1
0,1,1,0,1,0,0,0,0,0,98,2999.96142578,0,0,0,0,0,0,1,0,0,0,1
1,0,1,1,0,0,0,1,1,1,98,3999.97045898,0,0,1,0,0,0,1,0,2,0,2
